player_name,pitcher,pitch_type,pitches_vs_same,pitches_vs_opposite,score_vs_same,score_vs_opposite,confidence_vs_same,confidence_vs_opposite,trusted_score_vs_same,trusted_score_vs_opposite,platoon_gap,platoon_gap_abs,weaker_side
"Walker, Ryan",676254,SL,66.0,33.0,83.29355608591885,62.64916467780429,44.0,22.0,63.38917221454591,51.027826726721344,-12.361345487824565,12.361345487824565,opposite
"Paddack, Chris",663978,CH,55.0,124.0,56.085918854415276,36.63484486873509,36.666666666666664,82.66666666666667,50.806512103648146,38.561474090955315,-12.24503801269283,12.24503801269283,opposite
"Adam, Jason",592094,CH,34.0,67.0,55.011933174224346,78.52028639618138,22.666666666666664,44.666666666666664,49.396048594038795,61.494068703979515,12.09802010994072,12.09802010994072,same
"Baz, Shane",669358,FF,151.0,110.0,40.453460620525064,54.295942720763726,100.0,73.33333333333333,40.453460620525064,52.55036158415132,12.096900963626254,12.096900963626254,same
"Cruz, Fernando",518585,FS,76.0,57.0,99.64200477326969,85.20286396181385,50.66666666666667,38.0,74.04195572463378,61.98209664973891,-12.059859074894874,12.059859074894874,opposite
"Santillan, Tony",663574,FF,93.0,108.0,37.58949880668258,22.315035799522672,62.0,72.0,41.45049437436072,29.436829544027134,-12.013664830333589,12.013664830333589,opposite
"Burrows, Mike",681347,CH,38.0,80.0,99.0453460620525,94.63007159904535,25.333333333333336,53.333333333333336,60.744831051375456,72.7527111334422,12.007880082066748,12.007880082066748,same
"deGrom, Jacob",594798,SL,168.0,112.0,68.97374701670644,92.24343675417661,100.0,74.66666666666667,68.97374701670644,80.97176951926356,11.99802250255712,11.99802250255712,same
"Abbott, Andrew",671096,FF,87.0,239.0,51.07398568019092,37.70883054892602,57.99999999999999,100.0,49.67791734706695,37.70883054892602,-11.969086798140935,11.969086798140935,opposite
"Nola, Aaron",605400,FF,30.0,66.0,18.257756563245824,7.159904534606206,20.0,44.0,41.851562079422905,29.89036553196835,-11.961196547454556,11.961196547454556,opposite
"Leasure, Jordan",673929,SL,73.0,32.0,85.79952267303102,78.52028639618138,48.66666666666667,21.333333333333336,66.26744127622158,54.3143383518462,-11.953102924375372,11.953102924375372,opposite
"Walker, Ryan",676254,SI,73.0,86.0,41.527446300715994,63.24582338902148,48.66666666666667,57.333333333333336,44.72169744169493,56.63427781865164,11.912580376956711,11.912580376956711,same
"Bieber, Shane",669456,FF,31.0,43.0,0.0,54.77326968973747,20.666666666666668,28.666666666666668,37.88167734371729,49.76334691143133,11.881669567714034,11.881669567714034,same
"Peralta, Freddy",642547,CU,36.0,69.0,91.76610978520287,96.4200477326969,24.0,46.0,58.31387657688374,70.13822922461284,11.8243526477291,11.8243526477291,same
"Weaver, Luke",596133,FF,82.0,87.0,50.71599045346063,30.190930787589497,54.666666666666664,57.99999999999999,49.37141421573026,37.56574550935812,-11.805668706372138,11.805668706372138,opposite
"McCullers Jr., Lance",621121,ST,52.0,44.0,62.41050119331742,24.94033412887828,34.66666666666667,29.333333333333332,52.832315873215265,41.059174188454435,-11.77314168476083,11.77314168476083,opposite
"Legumina, Casey",668984,FF,57.0,54.0,69.68973747016707,38.424821002386636,38.0,36.0,56.08710858291313,44.39294417427818,-11.694164408634954,11.694164408634954,opposite
"Quantrill, Cal",615698,SI,77.0,33.0,51.19331742243437,2.983293556085919,51.33333333333333,22.0,49.51757615997033,37.9013350799433,-11.61624108002703,11.61624108002703,opposite
"Bello, Brayan",678394,FC,41.0,57.0,37.11217183770883,9.54653937947494,27.333333333333332,38.0,44.84233674879323,33.23269330845012,-11.609643440343106,11.609643440343106,opposite
"Morton, Charlie",450203,SI,86.0,32.0,11.455847255369928,4.534606205250596,57.333333333333336,21.333333333333336,26.94135816869142,38.53072657778097,11.589368409089548,11.589368409089548,same
"Kahnle, Tommy",592454,CH,111.0,126.0,58.35322195704057,43.31742243436754,74.0,84.0,55.596387747411484,44.02663699822349,-11.569750749187996,11.569750749187996,opposite
"Rasmussen, Drew",656876,FC,82.0,90.0,36.39618138424821,56.56324582338902,54.666666666666664,60.0,41.543251924560806,53.03795287742028,11.494700952859475,11.494700952859475,same
"Gallen, Zac",668678,FF,200.0,153.0,18.377088305489263,6.921241050119331,100.0,100.0,18.377088305489263,6.921241050119331,-11.455847255369932,11.455847255369932,opposite
"Armstrong, Shawn",542888,FF,36.0,40.0,98.21002386634845,50.47732696897375,24.0,26.666666666666668,59.86041595635868,48.47729706126893,-11.383118895089751,11.383118895089751,opposite
"Fermin, José",820862,SL,50.0,31.0,90.81145584725537,62.29116945107399,33.33333333333333,20.666666666666668,62.10382758806324,50.75518569693925,-11.34864189112399,11.34864189112399,opposite
"Dreyer, Jack",676263,SL,60.0,96.0,66.70644391408115,77.32696897374701,40.0,64.0,55.332585640712765,66.67926498824627,11.34667934753351,11.34667934753351,same
"Uceta, Edwin",670955,CH,69.0,71.0,88.90214797136038,63.961813842482094,46.0,47.333333333333336,66.67999533439806,55.42359897356757,-11.256396360830486,11.256396360830486,opposite
"Rodríguez, Yariel",684320,FF,41.0,59.0,22.434367541766107,1.5513126491646778,27.333333333333332,39.33333333333333,40.830403574568884,29.578524473474857,-11.251879101094026,11.251879101094026,opposite
"Brazobán, Huascar",623211,CH,57.0,59.0,92.95942720763723,62.88782816229117,38.0,39.33333333333333,64.92959068315179,53.70422057530461,-11.225370107847176,11.225370107847176,opposite
"Maton, Phil",664208,CU,76.0,49.0,99.16467780429595,93.31742243436753,50.66666666666667,32.666666666666664,73.80011006035376,62.63536705726129,-11.164743003092468,11.164743003092468,opposite
"Yamamoto, Yoshinobu",808967,CU,78.0,73.0,91.64677804295943,71.71837708830549,52.0,48.66666666666667,70.57633104240315,59.41461709165516,-11.161713950747995,11.161713950747995,opposite
"Woods Richardson, Simeon",680573,FF,109.0,116.0,21.71837708830549,37.70883054892602,72.66666666666667,77.33333333333333,28.833691029483017,39.98483200842201,11.151140978938994,11.151140978938994,same
"Myers, Tobias",668964,FF,59.0,48.0,3.9379474940334127,28.520286396181383,39.33333333333333,32.0,30.51726751245656,41.596500798535715,11.079233286079155,11.079233286079155,same
"Pérez, Eury",691587,FF,96.0,122.0,23.86634844868735,15.513126491646778,64.0,81.33333333333333,32.46446785220809,21.530678725453257,-10.933789126754831,10.933789126754831,opposite
"Verlander, Justin",434378,FF,154.0,124.0,25.178997613365155,7.279236276849642,100.0,82.66666666666667,25.178997613365155,14.294170988330015,-10.88482662503514,10.88482662503514,opposite
"Boyle, Joe",671212,FF,47.0,47.0,35.56085918854415,0.8353221957040573,31.333333333333336,31.333333333333336,43.93074512055796,33.0500768628014,-10.880668257756561,10.880668257756561,opposite
"Gil, Luis",661563,FF,60.0,77.0,18.257756563245824,3.579952267303103,40.0,51.33333333333333,35.95311070037863,25.076048713669618,-10.877061986709013,10.877061986709013,opposite
"Leiter Jr., Mark",643410,SI,49.0,32.0,3.221957040572793,30.54892601431981,32.666666666666664,21.333333333333336,33.20418169528834,44.08044813704907,10.876266441760727,10.876266441760727,same
"Crochet, Garrett",676979,FF,33.0,226.0,84.60620525059666,66.70644391408115,22.0,100.0,55.85837565273566,66.70644391408115,10.848068261345489,10.848068261345489,same
"Thompson, Ryan",657044,SI,54.0,45.0,13.723150357995225,42.959427207637226,36.0,30.0,35.50034274229727,46.31283758321818,10.812494840920913,10.812494840920913,same
"Young, Brandon",687064,FF,43.0,70.0,48.80668257756563,25.29832935560859,28.666666666666668,46.666666666666664,48.05292527260873,37.272560877133174,-10.780364395475559,10.780364395475559,opposite
"Imanaga, Shota",684007,ST,43.0,32.0,96.77804295942721,63.48448687350835,28.666666666666668,21.333333333333336,61.80471524874239,51.10670112034262,-10.69801412839977,10.69801412839977,opposite
"Uribe, Abner",682842,SL,92.0,54.0,95.34606205250597,99.16467780429595,61.33333333333333,36.0,76.9422565961443,66.25929262296553,-10.682963973178772,10.682963973178772,opposite
"Varland, Louis",686973,KC,86.0,56.0,95.70405727923628,92.84009546539379,57.333333333333336,37.333333333333336,75.24366524904146,64.58364407438646,-10.660021174655,10.660021174655,opposite
"Muñoz, Andrés",662253,FF,40.0,30.0,52.02863961813843,0.35799522673031026,26.666666666666668,20.0,48.89098043437951,38.2716098121198,-10.619370622259709,10.619370622259709,opposite
"Iglesias, Raisel",628452,FF,32.0,67.0,79.83293556085918,39.37947494033413,21.333333333333336,44.666666666666664,54.59437017364414,44.01117292036775,-10.583197253276388,10.583197253276388,opposite
"Alcantara, Sandy",645261,SL,71.0,36.0,65.75178997613365,39.26014319809069,47.333333333333336,24.0,56.27085434349598,45.71244459597682,-10.558409747519157,10.558409747519157,opposite
"Glasnow, Tyler",607192,SL,51.0,34.0,93.31742243436753,69.57040572792363,34.0,22.666666666666664,63.24293251027329,52.69596903954397,-10.546963470729324,10.546963470729324,opposite
"Bivens, Spencer",702352,FC,41.0,53.0,76.84964200477327,40.453460620525064,27.333333333333332,35.333333333333336,55.70391192779084,45.171898122394296,-10.532013805396545,10.532013805396545,opposite
"Megill, Tylor",656731,FF,53.0,72.0,57.637231503579955,33.17422434367542,35.333333333333336,48.0,51.24349716774036,40.75363468336713,-10.489862484373226,10.489862484373226,opposite
"Leiter, Jack",683004,FF,126.0,137.0,40.453460620525064,29.713603818615752,84.0,91.33333333333333,41.6209090745958,31.27675932073621,-10.34414975385959,10.34414975385959,opposite
"Lee, Dylan",669276,FF,38.0,35.0,10.978520286396181,52.02863961813843,25.333333333333336,23.333333333333332,38.434568521542516,48.74835956239047,10.313791040847953,10.313791040847953,same
"Civale, Aaron",650644,SI,50.0,33.0,4.295942720763723,28.520286396181383,33.33333333333333,22.0,33.265323212566024,43.5194735047643,10.254150292198275,10.254150292198275,same
"Cruz, Steven",674444,FF,48.0,32.0,18.01909307875895,51.19331742243437,32.0,21.333333333333336,38.23611893696054,48.484584970780176,10.24846603381964,10.24846603381964,same
"Romero, JoJo",668941,SI,30.0,43.0,30.54892601431981,0.0,20.0,28.666666666666668,44.3097959696377,34.06167626703992,-10.248119702597776,10.248119702597776,opposite
"Newcomb, Sean",656794,SV,38.0,59.0,86.9928400954654,99.0453460620525,25.333333333333336,39.33333333333333,57.69152953984005,67.9261776158774,10.23464807603736,10.23464807603736,same
"Alexander, Jason",669920,CH,52.0,71.0,99.0453460620525,63.72315035799523,34.66666666666667,47.333333333333336,65.5323954277101,55.31063159091046,-10.221763836799639,10.221763836799639,opposite
"Milner, Hoby",571948,ST,42.0,32.0,69.92840095465394,28.997613365155132,28.000000000000004,21.333333333333336,53.95996195739947,43.7495014385606,-10.210460518838872,10.210460518838872,opposite
"Bazardo, Eduard",660825,SI,98.0,62.0,75.65632458233891,67.42243436754177,65.33333333333333,41.333333333333336,65.98213672606337,55.88128076755134,-10.100855958512035,10.100855958512035,opposite
"Morton, Charlie",450203,CU,115.0,160.0,80.42959427207637,82.81622911694511,76.66666666666667,100.0,72.8043587489009,82.81622911694511,10.011870368044214,10.011870368044214,same
"Martinez, Nick",607259,FF,53.0,92.0,18.85441527446301,14.797136038186157,35.333333333333336,61.33333333333333,37.540235433452374,27.538915307361485,-10.001320126090889,10.001320126090889,opposite
"Singer, Brady",663903,SI,122.0,173.0,29.236276849642007,22.79236276849642,81.33333333333333,100.0,32.69217434995604,22.79236276849642,-9.89981158145962,9.89981158145962,opposite
"Dodd, Dylan",689266,FC,34.0,41.0,55.36992840095465,18.01909307875895,22.666666666666664,27.333333333333332,49.477194178764336,39.6235618880136,-9.853632290750738,9.853632290750738,opposite
"Lorenzen, Michael",547179,CH,33.0,82.0,93.07875894988067,84.00954653937947,22.0,54.666666666666664,57.72233746657814,67.57189154269923,9.849554076121095,9.849554076121095,same
"Crismatt, Nabil",622503,CH,42.0,32.0,98.68735083532219,68.4964200477327,28.000000000000004,21.333333333333336,62.01246792398658,52.175913530843815,-9.836554393142762,9.836554393142762,opposite
"Duran, Jhoan",661395,FS,66.0,61.0,58.830548926014316,35.56085918854415,44.0,40.666666666666664,52.62544906418792,42.793090722031806,-9.832358342156112,9.832358342156112,opposite
"Speier, Gabe",642100,FF,50.0,78.0,83.89021479713604,52.02863961813843,33.33333333333333,52.0,59.79674723802346,49.97489906149623,-9.821848176527226,9.821848176527226,opposite
"Lee, Dylan",669276,SL,80.0,62.0,91.76610978520287,80.78758949880668,53.333333333333336,41.333333333333336,71.22526483272621,61.40554488847417,-9.819719944252043,9.819719944252043,opposite
