player_id,player_name,season,CH_usage_pct,CS_usage_pct,CU_usage_pct,EP_usage_pct,FA_usage_pct,FC_usage_pct,FF_usage_pct,FO_usage_pct,FS_usage_pct,KC_usage_pct,KN_usage_pct,PO_usage_pct,SC_usage_pct,SI_usage_pct,SL_usage_pct,ST_usage_pct,SV_usage_pct,UN_usage_pct,CH_avg_speed,CS_avg_speed,CU_avg_speed,EP_avg_speed,FA_avg_speed,FC_avg_speed,FF_avg_speed,FO_avg_speed,FS_avg_speed,KC_avg_speed,KN_avg_speed,PO_avg_speed,SC_avg_speed,SI_avg_speed,SL_avg_speed,ST_avg_speed,SV_avg_speed,UN_avg_speed,CH_avg_spin,CS_avg_spin,CU_avg_spin,EP_avg_spin,FA_avg_spin,FC_avg_spin,FF_avg_spin,FO_avg_spin,FS_avg_spin,KC_avg_spin,KN_avg_spin,PO_avg_spin,SC_avg_spin,SI_avg_spin,SL_avg_spin,ST_avg_spin,SV_avg_spin,UN_avg_spin,CH_whiff_rate,CS_whiff_rate,CU_whiff_rate,EP_whiff_rate,FA_whiff_rate,FC_whiff_rate,FF_whiff_rate,FO_whiff_rate,FS_whiff_rate,KC_whiff_rate,KN_whiff_rate,PO_whiff_rate,SC_whiff_rate,SI_whiff_rate,SL_whiff_rate,ST_whiff_rate,SV_whiff_rate,UN_whiff_rate,CH_avg_pfx_x,CS_avg_pfx_x,CU_avg_pfx_x,EP_avg_pfx_x,FA_avg_pfx_x,FC_avg_pfx_x,FF_avg_pfx_x,FO_avg_pfx_x,FS_avg_pfx_x,KC_avg_pfx_x,KN_avg_pfx_x,PO_avg_pfx_x,SC_avg_pfx_x,SI_avg_pfx_x,SL_avg_pfx_x,ST_avg_pfx_x,SV_avg_pfx_x,UN_avg_pfx_x,CH_avg_pfx_z,CS_avg_pfx_z,CU_avg_pfx_z,EP_avg_pfx_z,FA_avg_pfx_z,FC_avg_pfx_z,FF_avg_pfx_z,FO_avg_pfx_z,FS_avg_pfx_z,KC_avg_pfx_z,KN_avg_pfx_z,PO_avg_pfx_z,SC_avg_pfx_z,SI_avg_pfx_z,SL_avg_pfx_z,ST_avg_pfx_z,SV_avg_pfx_z,UN_avg_pfx_z
445926,jesse chavez,2022,12.58,,1.6,,,58.81,0.48,,,,,0.08,,26.36,0.08,,,,85.53,,76.85,,,89.13,91.48,,,,,88.2,,91.26,81.8,,,,1825.0,,2512.0,,,2224.0,1950.0,,,,,2101.0,,1976.0,2252.0,,,,0.191,,0.25,,,0.1726,0.25,,,,,,,0.0541,0.0,,,,-1.32,,1.25,,,-0.16,-1.03,,,,,-1.04,,-1.37,0.77,,,,0.14,,-0.38,,,1.06,1.09,,,,,1.16,,0.6,0.13,,,
445926,jesse chavez,2023,13.6,,5.68,,,50.77,0.17,,,,,0.17,,29.6,,,,,84.75,,75.86,,,88.52,92.1,,,,,88.9,,90.86,,,,,1761.0,,2590.0,,,2277.0,1660.0,,,,,2157.0,,2030.0,,,,,0.1957,,0.55,,,0.1809,,,,,,,,0.0517,,,,,-1.33,,1.33,,,-0.07,-1.88,,,,,-0.87,,-1.38,,,,,0.17,,-0.6,,,1.03,0.63,,,,,1.12,,0.62,,,,
445926,jesse chavez,2024,13.34,,7.0,,,51.31,,,,,,,,26.77,1.59,,,,85.19,,75.68,,,88.82,,,,,,,,90.75,81.4,,,,1878.0,,2558.0,,,2200.0,,,,,,,,1988.0,2412.0,,,,0.1111,,0.2703,,,0.1117,,,,,,,,0.0354,0.375,,,,-1.34,,1.31,,,-0.16,,,,,,,,-1.33,0.4,,,,0.18,,-0.69,,,1.04,,,,,,,,0.63,-0.46,,,
445926,jesse chavez,2025,18.57,,4.76,,,38.57,,,,,,,,34.29,3.81,,,,83.93,,73.78,,,87.86,,,,,,,,89.54,80.44,,,,1817.0,,2529.0,,,2187.0,,,,,,,,1980.0,2403.0,,,,0.25,,0.25,,,0.125,,,,,,,,0.0,0.0,,,,-1.33,,1.39,,,-0.17,,,,,,,,-1.35,0.52,,,,0.09,,-0.67,,,1.05,,,,,,,,0.62,-0.47,,,
446321,ross detwiler,2020,9.32,,3.54,,,2.57,27.65,,,,,,,29.26,27.65,,,,85.2,,78.1,,,83.1,91.91,,,,,,,91.0,83.3,,,,1726.0,,2155.0,,,1851.0,2286.0,,,,,,,2099.0,2179.0,,,,0.1538,,0.0,,,0.3333,0.2745,,,,,,,0.1385,0.2679,,,,0.99,,-0.23,,,-0.11,0.93,,,,,,,1.37,-0.12,,,,0.65,,-0.49,,,-0.09,1.35,,,,,,,0.8,0.01,,,
446321,ross detwiler,2021,4.54,,7.89,,,36.97,33.73,,,,,,,16.86,,,,,85.43,,77.31,,,85.19,91.9,,,,,,,91.11,,,,,1631.0,,2057.0,,,2062.0,2186.0,,,,,,,2017.0,,,,,0.2414,,0.1622,,,0.1581,0.1435,,,,,,,0.0938,,,,,1.1,,-0.5,,,-0.03,0.88,,,,,,,1.41,,,,,0.69,,-0.63,,,0.41,1.37,,,,,,,0.82,,,,
446321,ross detwiler,2022,2.76,,3.4,,,43.52,25.27,,,,,,,25.05,,,,,86.84,,77.01,,,86.04,92.4,,,,,,,91.79,,,,,1468.0,,2141.0,,,2150.0,2244.0,,,,,,,2073.0,,,,,0.2857,,0.1,,,0.1343,0.2237,,,,,,,0.0602,,,,,1.07,,-0.51,,,-0.19,0.73,,,,,,,1.28,,,,,0.53,,-0.83,,,0.36,1.43,,,,,,,0.86,,,,
446372,corey kluber,2021,13.23,,29.22,,,26.72,5.74,,,,,,,25.1,,,,,84.66,,81.92,,,87.6,89.99,,,,,,,90.75,,,,,1641.0,,2518.0,,,2456.0,2287.0,,,,,,,2120.0,,,,,0.3307,,0.2464,,,0.2069,0.093,,,,,,,0.0498,,,,,-1.13,,1.39,,,0.31,-0.5,,,,,,,-1.3,,,,,0.4,,0.03,,,0.63,1.29,,,,,,,0.72,,,,
446372,corey kluber,2022,10.18,,27.22,,,34.37,1.53,,,,,,,26.7,,,,,82.92,,80.73,,,86.3,88.88,,,,,,,88.89,,,,,1652.0,,2527.0,,,2464.0,2275.0,,,,,,,2075.0,,,,,0.2848,,0.1949,,,0.1906,0.0476,,,,,,,0.0497,,,,,-1.13,,1.38,,,0.24,-0.58,,,,,,,-1.36,,,,,0.52,,0.1,,,0.7,1.19,,,,,,,0.72,,,,
446372,corey kluber,2023,15.4,,28.33,,,28.04,2.0,,,,,,,26.24,,,,,82.12,,80.48,,,86.06,88.28,,,,,,,88.16,,,,,1720.0,,2557.0,,,2478.0,2278.0,,,,,,,2198.0,,,,,0.2642,,0.1857,,,0.1587,0.0,,,,,,,0.0536,,,,,-1.21,,1.31,,,0.2,-0.71,,,,,,,-1.28,,,,,0.31,,0.24,,,0.7,1.14,,,,,,,0.72,,,,
