player_name,n_pitch_types,velocity_range,max_velo,min_velo,raw_velocity_index,velocity_score,confidence_score,trusted_velocity_score
"Bello, Brayan",5,9.622100000000003,95.2936,85.6715,0.07411697148955268,43.21329639889196,100.0,43.21329639889196
"Scott, Tanner",2,7.584099999999992,96.5191,88.935,-0.06683597667183254,36.288088642659275,50.0,43.1786703601108
"Sandlin, Nick",3,13.009500000000003,91.4017,78.3922,0.02677752955036773,40.85872576177285,75.0,43.161357340720215
"Sauer, Matt",4,10.546599999999998,94.3133,83.7667,0.07362936331090537,43.07479224376731,100.0,43.07479224376731
"Fermin, José",2,7.207899999999995,96.8227,89.6148,-0.08110686683579024,35.73407202216066,50.0,42.90166204986149
"Parker, Mitchell",4,11.811999999999998,92.9502,81.1382,0.0697245173186687,42.65927977839335,100.0,42.65927977839335
"Hollowell, Gavin",2,9.358699999999999,94.4346,85.0759,-0.09855942077851873,35.041551246537395,50.0,42.55540166204986
"Thompson, Ryan",3,13.193200000000004,91.144,77.9508,0.017129336113296395,40.02770083102493,75.0,42.538088642659275
"Loutos, Ryan",2,8.403300000000002,95.3879,86.9846,-0.10712898471262304,34.76454293628809,50.0,42.41689750692521
"Backhus, Kyle",2,12.580799999999996,90.9722,78.3914,-0.10721578648422887,34.62603878116344,50.0,42.347645429362885
"Fernandez, Ryan",2,8.541700000000006,95.2202,86.6785,-0.1103820734009707,34.34903047091413,50.0,42.20914127423823
"Crismatt, Nabil",4,15.35430000000001,89.1615,73.8072,0.06290727232876635,42.10526315789473,100.0,42.10526315789473
"Young, Danny",2,10.662999999999997,92.9069,82.2439,-0.1212119838646321,33.933518005540165,50.0,42.001385041551245
"Lugo, Seth",7,12.858199999999997,91.7263,78.8681,0.05178115737317817,41.96675900277008,100.0,41.96675900277008
"Smith, Dylan",2,8.979600000000005,94.6671,85.6875,-0.1240899643121251,33.795013850415515,50.0,41.93213296398892
"Núñez, Dedniel",2,7.452200000000005,96.2146,88.7624,-0.13422888331559021,33.37950138504155,50.0,41.72437673130194
"Hanifee, Brenan",3,8.381600000000006,96.0612,87.6796,-0.008391094891351236,38.9196675900277,75.0,41.70706371191136
"Estévez, Carlos",3,8.528500000000008,95.8695,87.341,-0.013923973564018621,38.78116343490305,75.0,41.603185595567865
"Hendriks, Liam",2,8.631699999999995,94.9422,86.3105,-0.13814682216431862,33.10249307479224,50.0,41.58587257617728
"Rangel, Alan",2,10.61890000000001,92.7763,82.1574,-0.1481156142482051,32.825484764542935,50.0,41.44736842105263
"Jackson, Luke",3,10.073900000000009,94.1761,84.1022,-0.02304726397205112,38.504155124653735,75.0,41.39542936288088
"McDermott, Chayce",2,9.917200000000008,93.5057,83.5885,-0.14997004149635196,32.686980609418285,50.0,41.378116343490305
"Dana, Caden",3,9.3382,94.8917,85.5535,-0.03245226229664769,37.81163434903047,75.0,40.87603878116343
"Maxwell, Zach",1,0.0,99.6777,99.6777,-0.8042067247214668,12.880886426592797,25.0,40.77216066481994
"Funderburk, Kody",5,11.1948,93.3059,82.1111,0.024693756591227148,40.7202216066482,100.0,40.7202216066482
"Okert, Steven",2,11.125699999999995,91.9892,80.8635,-0.1862938154209898,31.301939058171747,50.0,40.68559556786704
"Gray, Sonny",6,12.090900000000005,92.358,80.2671,0.024568164876878778,40.581717451523545,100.0,40.581717451523545
"Allen, Logan",5,13.147199999999998,91.2187,78.0715,0.021089291026839936,40.30470914127424,100.0,40.30470914127424
"Whisenhunt, Carson",3,11.433399999999992,92.5821,81.1487,-0.04690831647117593,36.98060941828255,75.0,40.25277008310249
"Gibaut, Ian",4,10.494599999999991,94.0055,83.5109,0.018555804260362806,40.16620498614959,100.0,40.16620498614959
"Rodriguez, Bradgley",1,0.0,98.3192,98.3192,-1.0104528957792667,10.38781163434903,25.0,40.148891966758995
"King, Bryan",3,11.94720000000001,92.0027,80.0555,-0.05243051759408653,36.70360110803324,75.0,40.045013850415515
"Nance, Tommy",3,9.530100000000004,94.5449,85.0148,-0.054311801956825896,36.56509695290859,75.0,39.94113573407202
"Kopech, Michael",1,0.0,97.4503,97.4503,-1.1423684629725834,9.556786703601109,25.0,39.94113573407202
"Vest, Will",4,7.956499999999991,96.6458,88.6893,0.012152919250036387,39.88919667590028,100.0,39.88919667590028
"Otañez, Michel",1,0.0,97.3882,97.3882,-1.1517964255951005,9.279778393351801,25.0,39.87188365650969
"Whitley, Forrest",2,6.847000000000008,96.2779,89.4309,-0.2217260730721757,29.6398891966759,50.0,39.85457063711911
"Gil, Luis",3,8.7046,95.3774,86.6728,-0.06037800849100587,36.42659279778393,75.0,39.837257617728525
