player_name,comp_player_name,same_hand,rank,arsenal_distance
"Maton, Phil","Messick, Parker",False,7,0.9672602814368435
"Maton, Phil","Blackburn, Paul",True,8,1.0052451535389104
"Maton, Phil","Canning, Griffin",True,9,1.0279317236400038
"Maton, Phil","Strowd, Kade",True,10,1.0863100247018171
"Taillon, Jameson","Gómez, Yoendrys",True,1,0.32134015038274943
"Taillon, Jameson","Lugo, Seth",True,2,0.3717470512198321
"Taillon, Jameson","Vasil, Mike",True,3,0.3976088757556147
"Taillon, Jameson","Gibson, Cade",False,4,0.5807232764064676
"Taillon, Jameson","López, Pablo",True,5,0.5901356199417893
"Taillon, Jameson","Gusto, Ryan",True,6,0.6460810874916594
"Taillon, Jameson","Newcomb, Sean",False,7,0.6467893998887533
"Taillon, Jameson","Simpson, Josh",False,8,0.6519176834773601
"Taillon, Jameson","Leahy, Kyle",True,9,0.6729166008528854
"Taillon, Jameson","Vásquez, Randy",True,10,0.7243130390217472
"Strowd, Kade","Mazur, Adam",True,1,0.43549259142857316
"Strowd, Kade","Vasil, Mike",True,2,0.6611795378500733
"Strowd, Kade","Povich, Cade",False,3,0.663882275640156
"Strowd, Kade","Junk, Janson",True,4,0.6737466116615326
"Strowd, Kade","Schmidt, Clarke",True,5,0.7171510903440917
"Strowd, Kade","Taillon, Jameson",True,6,0.7324785390108869
"Strowd, Kade","Wheeler, Zack",True,7,0.7752100600688386
"Strowd, Kade","López, Pablo",True,8,0.8164495908239077
"Strowd, Kade","Faucher, Calvin",True,9,0.8207907632385024
"Strowd, Kade","Civale, Aaron",True,10,0.8222668233919357
"Arrighetti, Spencer","Wheeler, Zack",True,1,0.5980921071157532
"Arrighetti, Spencer","Montero, Keider",True,2,0.6989754865440457
"Arrighetti, Spencer","Simpson, Josh",False,3,0.7178686047663586
"Arrighetti, Spencer","Gómez, Yoendrys",True,4,0.8693491137064455
"Arrighetti, Spencer","Messick, Parker",False,5,0.8946463283612345
"Arrighetti, Spencer","Vásquez, Randy",True,6,0.8988919507905927
"Arrighetti, Spencer","Bibee, Tanner",True,7,0.9106988206961903
"Arrighetti, Spencer","Blackburn, Paul",True,8,0.9563524607182862
"Arrighetti, Spencer","Eflin, Zach",True,9,0.9869141673924899
"Arrighetti, Spencer","McGreevy, Michael",True,10,1.0124333282783162
"McCullers Jr., Lance","Warren, Will",True,1,1.0620170391266481
"McCullers Jr., Lance","Dubin, Shawn",True,2,1.1438287588324143
"McCullers Jr., Lance","Gibson, Cade",False,3,1.1466395436968677
"McCullers Jr., Lance","Gómez, Yoendrys",True,4,1.17169534240071
"McCullers Jr., Lance","Taillon, Jameson",True,5,1.231593455424731
"McCullers Jr., Lance","Vásquez, Randy",True,6,1.2318969962093942
"McCullers Jr., Lance","Faucher, Calvin",True,7,1.2594987836636673
"McCullers Jr., Lance","Lugo, Seth",True,8,1.3312869029672847
"McCullers Jr., Lance","Leahy, Kyle",True,9,1.353855686406637
"McCullers Jr., Lance","Vasil, Mike",True,10,1.362111100677347
"Burke, Sean","Knack, Landon",True,1,0.7458878692710385
"Burke, Sean","Sheehan, Emmet",True,2,0.8562305896160038
"Burke, Sean","Brown, Hunter",True,3,0.8650976795257985
"Burke, Sean","Paddack, Chris",True,4,0.8667054351859502
"Burke, Sean","Schlittler, Cam",True,5,0.9294211088938114
"Burke, Sean","Gonsolin, Tony",True,6,0.9557315115089587
"Burke, Sean","Beck, Tristan",True,7,0.9693080127144393
"Burke, Sean","Latz, Jacob",False,8,0.991375081588365
"Burke, Sean","Baz, Shane",True,9,0.9987792095863579
"Burke, Sean","Birdsong, Hayden",True,10,1.0010738725962818
"Liberatore, Matthew","Burrows, Mike",False,1,0.5166348464118075
"Liberatore, Matthew","Verlander, Justin",False,2,0.5231649039077697
"Liberatore, Matthew","Mikolas, Miles",False,3,0.6480470088392681
"Liberatore, Matthew","Megill, Tylor",False,4,0.7186679459823917
"Liberatore, Matthew","Englert, Mason",False,5,0.7235079431262058
"Liberatore, Matthew","Paddack, Chris",False,6,0.7449436218898732
"Liberatore, Matthew","Yamamoto, Yoshinobu",False,7,0.7978420601279835
"Liberatore, Matthew","Sugano, Tomoyuki",False,8,0.8391495342434178
"Liberatore, Matthew","Wacha, Michael",False,9,0.8560909188054298
"Liberatore, Matthew","Allard, Kolby",True,10,0.8590916437369038
"Povich, Cade","Civale, Aaron",False,1,0.5013407271066103
"Povich, Cade","Megill, Tylor",False,2,0.5088160989668081
"Povich, Cade","Strowd, Kade",False,3,0.663882275640156
"Povich, Cade","Mazur, Adam",False,4,0.7241863543400288
"Povich, Cade","Verlander, Justin",False,5,0.7791154171641975
"Povich, Cade","López, Jorge",False,6,0.7910119942653778
"Povich, Cade","Jobe, Jackson",False,7,0.8034709398870289
"Povich, Cade","Sugano, Tomoyuki",False,8,0.84116695850265
"Povich, Cade","López, Pablo",False,9,0.8545479579739579
"Povich, Cade","Montero, Keider",False,10,0.8974453897747624
"Gómez, Yoendrys","Taillon, Jameson",True,1,0.32134015038274943
"Gómez, Yoendrys","Vasil, Mike",True,2,0.3755935100582438
"Gómez, Yoendrys","Lugo, Seth",True,3,0.4930855979182926
"Gómez, Yoendrys","Vásquez, Randy",True,4,0.5370079171695528
"Gómez, Yoendrys","Simpson, Josh",False,5,0.5698806878809219
"Gómez, Yoendrys","Wheeler, Zack",True,6,0.6397010067025258
"Gómez, Yoendrys","Gibson, Cade",False,7,0.676296245137203
"Gómez, Yoendrys","López, Pablo",True,8,0.6827993559509316
"Gómez, Yoendrys","Newcomb, Sean",False,9,0.7692982592270989
"Gómez, Yoendrys","Blackburn, Paul",True,10,0.7837904757907663
"Dobbins, Hunter","Pérez, Eury",True,1,0.5625629716577586
"Dobbins, Hunter","Sugano, Tomoyuki",True,2,0.6587217189375346
"Dobbins, Hunter","Englert, Mason",True,3,0.7235534147348128
"Dobbins, Hunter","Walker, Taijuan",True,4,0.7504489166378318
"Dobbins, Hunter","Yamamoto, Yoshinobu",True,5,0.7924789443293843
"Dobbins, Hunter","Wheeler, Zack",True,6,0.8143085386457468
"Dobbins, Hunter","Messick, Parker",False,7,0.9058190863144422
"Dobbins, Hunter","Allard, Kolby",False,8,0.9115487164607472
"Dobbins, Hunter","Verlander, Justin",True,9,0.9197976287923112
"Dobbins, Hunter","Eovaldi, Nathan",True,10,0.9568413826775465
"Harris, Hogan","Ogasawara, Shinnosuke",True,1,1.4957683773438655
"Harris, Hogan","Sheehan, Emmet",False,2,1.7279044378563269
"Harris, Hogan","Leiter Jr., Mark",False,3,1.8080063046421624
"Harris, Hogan","Smith-Shawver, AJ",False,4,1.8118194972406496
"Harris, Hogan","Barnett, Mason",False,5,1.8281632294727301
"Harris, Hogan","Latz, Jacob",True,6,1.8535832027383117
"Harris, Hogan","Thielbar, Caleb",True,7,1.9119232984266583
"Harris, Hogan","Francis, Bowden",False,8,1.9254541742100604
"Harris, Hogan","Ragans, Cole",True,9,1.9369957985080195
"Harris, Hogan","Cantillo, Joey",True,10,1.9439332365268316
"Englert, Mason","Mikolas, Miles",True,1,0.46547383300420436
"Englert, Mason","Verlander, Justin",True,2,0.5128747836904344
"Englert, Mason","Burrows, Mike",True,3,0.6029656762394494
"Englert, Mason","Yamamoto, Yoshinobu",True,4,0.6095713877242479
"Englert, Mason","Cecconi, Slade",True,5,0.626738972534049
"Englert, Mason","Allard, Kolby",False,6,0.6736348417420793
"Englert, Mason","Pérez, Eury",True,7,0.7110496309782793
"Englert, Mason","Liberatore, Matthew",False,8,0.7235079431262058
"Englert, Mason","Dobbins, Hunter",True,9,0.7235534147348128
"Englert, Mason","Wacha, Michael",True,10,0.7679531194225586
"Beck, Tristan","Pressly, Ryan",True,1,0.6403097135834761
"Beck, Tristan","Early, Connelly",False,2,0.6404240603442093
"Beck, Tristan","Baz, Shane",True,3,0.7238024881174262
"Beck, Tristan","López, Jorge",True,4,0.7495532445660839
"Beck, Tristan","Morgan, David",True,5,0.8982464915030587
"Beck, Tristan","Ashcraft, Braxton",True,6,0.9224054785297537
"Beck, Tristan","Knack, Landon",True,7,0.9558443870547308
