player_name,pitcher,pitch_type,pitch_name,p_throws,pitches,balls,velo,spin,spin_axis,HB,IVB,extension,release_x,release_z,swing_rate,whiff_rate,called_strike_rate,chase_rate,strike_rate,xwoba,xba,avg_exit_velocity,avg_launch_angle,hard_hit_rate,sweet_spot_rate,run_value,avg_run_value,swings,whiffs,contacts,balls_in_play,csw_rate,run_value_per_100,usage
"Lange, Alex",656638,SL,Slider,R,12,12,88.35,2219.6667,228.6667,-1.66,1.02,6.2083,-2.0433,5.71,0.75,0.3333,0.0,0.4167,0.75,0.0117,0.019,79.25,48.25,0.0,0.0,-0.859,-0.0716,9,4,5,2,0.3333,-7.1583,0.6
"Lao, Sauryn",666659,CH,Changeup,R,14,14,86.9714,1885.1429,231.7857,-14.76,6.84,6.4786,-0.9329,5.8343,0.2857,0.0714,0.0714,0.1429,0.3571,0.2946,0.162,88.0333,26.6667,0.0714,0.0714,-0.056,-0.004,4,1,3,3,0.1429,-0.4,0.0757
"Lao, Sauryn",666659,FF,4-Seam Fastball,R,55,55,92.7818,2232.8909,213.4,-6.0938,11.8975,6.2564,-0.9611,5.9615,0.5273,0.1273,0.1818,0.0909,0.7091,0.4065,0.3097,84.5045,25.6818,0.1091,0.1636,2.04,0.0371,29,7,22,10,0.3091,3.7091,0.2973
"Lao, Sauryn",666659,SI,Sinker,R,27,27,93.1296,2198.8889,218.4074,-14.5289,6.4311,6.3259,-0.9678,5.8507,0.6667,0.0741,0.1481,0.1852,0.8148,0.4668,0.4436,95.7214,7.3571,0.2963,0.1852,0.774,0.0287,18,2,16,9,0.2222,2.8667,0.1459
"Lao, Sauryn",666659,SL,Slider,R,89,89,86.8517,2246.1236,198.2584,2.5969,6.8629,6.2382,-1.1802,5.6909,0.5169,0.191,0.1236,0.2135,0.6404,0.2751,0.3436,80.1296,15.5556,0.0787,0.0899,-0.632,-0.0071,46,17,29,15,0.3146,-0.7101,0.4811
"Lara, Andry",691251,FF,4-Seam Fastball,R,116,116,94.2112,2112.4138,227.2241,-13.3841,11.3772,6.1164,-1.6458,6.2946,0.4224,0.0086,0.1897,0.0603,0.6121,0.3623,0.3063,84.5279,12.8837,0.1034,0.1121,1.486,0.0128,49,1,48,27,0.1983,1.281,0.4549
"Lara, Andry",691251,FS,Split-Finger,R,15,15,88.1733,1120.3333,236.0667,-12.328,5.304,6.0533,-1.7873,6.24,0.6,0.2,0.0,0.2667,0.6,0.119,0.248,70.6,-1.6667,0.1333,0.0,-0.854,-0.0569,9,3,6,2,0.2,-5.6933,0.0588
"Lara, Andry",691251,SI,Sinker,R,41,41,94.4951,2094.8049,227.6585,-16.1561,10.519,6.1439,-1.599,6.2741,0.4878,0.0488,0.2195,0.122,0.7073,0.4608,0.4625,89.7412,4.0,0.1951,0.0976,0.757,0.0185,20,2,18,12,0.2683,1.8463,0.1608
"Lara, Andry",691251,SL,Slider,R,83,83,85.9867,2192.9639,160.2169,2.9002,3.0275,6.0711,-1.6063,6.3551,0.506,0.0843,0.0723,0.0843,0.5783,0.4497,0.4465,82.1935,15.6452,0.1084,0.1928,4.382,0.0528,42,7,35,18,0.1566,5.2795,0.3255
"Latz, Jacob",656641,CH,Changeup,L,324,324,84.7056,1981.742,123.8344,14.6093,9.8811,6.5608,1.9981,5.836,0.534,0.213,0.0679,0.2284,0.6019,0.3424,0.383,80.0299,9.6907,0.0772,0.0833,4.211,0.013,173,69,104,64,0.2809,1.2997,0.2334
