player_name,season,p_throws,total_pitches,release_x,release_z,extension,avg_velo,map_x,map_y
"Curry, Xzavion",2024,R,639.0,-1.46688333,6.00360926,6.20266794,86.83426989,0.6388648088671839,0.0074362156486692975
"Dana, Caden",2024,R,206.0,-1.70299046,6.03557114,6.50777725,88.99648088,-0.22141508645211938,0.2830759684103255
"Daniel, Davis",2024,R,508.0,-1.49313543,5.591361570000001,6.6846499800000005,86.47140154000002,0.006972543169394087,-1.0077142945696835
"Darvish, Yu",2024,R,1348.0,-1.9643948394839483,5.599361396139614,6.593389648964897,86.97972456245625,-0.1523219465397571,-0.8376517496683514
"Davis, Noah",2024,R,365.0,-2.356716748325167,5.8400326467353265,5.601102649735027,88.64159536046395,0.6146391878893146,0.5461903410648609
"De Los Santos, Enyel",2024,R,1105.0,-1.97390927,5.45278156,6.2027923000000005,90.99886232,-0.5445747584137295,0.058340493006232896
"Detmers, Reid",2024,L,1559.0,1.4397881900000002,6.14058112,6.054198799999999,87.88950179,1.679377058646508,0.6005708139671823
"Devenski, Chris",2024,R,533.0,-0.013472977297729775,6.418477577757776,6.213685588558857,85.92562205220523,1.4551766151044894,0.45004767029665443
"Diekman, Jake",2024,L,627.0,4.101087861213879,5.572426547345265,6.435812988701131,90.42443728627137,1.4944298006459906,0.09582456700474176
"Domínguez, Seranthony",2024,R,1069.0,-1.77713023,5.4442192,6.56889888,93.96034818,-1.4940857413140007,0.4085978845114933
"Doval, Camilo",2024,R,1116.0,-1.5803317968203179,5.472836526347366,6.334355154484552,93.6136787821218,-1.0718973597939967,0.5478551954881695
"Dubin, Shawn",2024,R,840.0,-1.99486469,5.78854328,6.4978731,89.76057295,-0.5440552017462041,0.08204777889521356
"Dunning, Dane",2024,R,1689.0,-2.3285388,5.41144287,7.019351889999999,86.00076682,-0.6449721404493748,-1.6229123547859863
"Duran, Jhoan",2024,R,881.0,-2.1942450099999995,5.94908458,6.33724912,95.37690046,-1.4924441086090712,1.5908946776949484
"Díaz, Alexis",2024,R,977.0,-2.0898238300000003,4.5915391,7.677079150000001,91.23599945000001,-2.630650967200286,-2.185665839044827
"Díaz, Edwin",2024,R,1007.0,-2.09915393,4.90751838,7.315892379999999,93.85787651000001,-2.632309019229311,-0.927093470508224
"Díaz, Yilber",2024,R,469.0,-0.8842033596640335,5.688507749225077,5.908128927107289,90.15024564543545,0.43093693203300515,0.4586740241441956
"Eflin, Zach",2024,R,2522.0,-2.319182601739826,5.790025137486251,6.556124207579242,86.83909569043097,-0.1462348619570117,-0.5715843071923891
"Elder, Bryce",2024,R,864.0,-1.02538606,6.6486217199999995,5.9010577600000005,87.6515787,1.1911814109156553,1.339175034791894
"Ellard, Fraser",2024,L,407.0,2.9849084291570844,5.777393040695931,5.911518508149186,92.37107587241276,1.3889768750761244,1.1404205605991975
"Emanuel, Kent",2024,L,302.0,2.26861527,5.8724134999999995,5.86557666,84.59692668999999,2.763667125967482,-0.3214961957815388
"Englert, Mason",2024,R,365.0,-1.903149935006499,5.633174982501748,6.1687994300569935,88.30828448155182,0.11254216937803131,-0.2124212389443512
"Eovaldi, Nathan",2024,R,2530.0,-2.3544374799999996,5.50783724,6.568684510000001,89.82765899,-0.857294524014536,-0.3712172109587673
"Erceg, Lucas",2024,R,1045.0,-2.0999331100000003,6.02583913,6.55471187,93.59324947,-1.3342070363851972,1.1814631123591501
"Estes, Joey",2024,R,2027.0,-2.0712481651834813,5.862654564543545,5.9660159384061595,87.23276794320569,0.57669034180774,0.036768838564646224
"Estrada, Jeremiah",2024,R,1059.0,-0.62283100310031,5.814285858585858,6.830821122112211,92.75088540854084,-1.0318992435955563,0.5398832546297069
"Estévez, Carlos",2024,R,866.0,-1.8715798820117988,5.993125327467253,6.335336596340365,93.99073864613537,-1.085974104314618,1.3761301084363242
"Faedo, Alex",2024,R,1007.0,-2.148173447344734,6.033663896389639,6.101093809380938,88.7133398139814,0.15152173484804815,0.49661716786713417
"Fairbanks, Pete",2024,R,696.0,-0.32642378,6.95533051,6.430147959999999,91.69799837,0.11424727631036666,2.2714881704292136
"Falter, Bailey",2024,L,2076.0,1.2056671400000003,5.774705,7.2894717799999995,88.4211566,-0.07019461903890623,-0.6957272276495539
