player_name,pitch_type,HB,IVB,usage,velo,pitches
"Bibee, Tanner",FF,-5.5364,14.6226,0.2781,94.3733,850
"Bibee, Tanner",SI,-14.115,9.4703,0.1492,94.0849,456
"Bibee, Tanner",ST,16.0163,-1.9185,0.1577,82.9824,482
"Bido, Osvaldo",CH,-16.0027,9.983,0.1058,88.7514,146
"Bido, Osvaldo",FC,-0.1238,6.0357,0.0681,86.5734,94
"Bido, Osvaldo",FF,-10.2262,15.7613,0.379,94.5099,523
"Bido, Osvaldo",SI,-15.8171,10.0882,0.1478,94.7412,204
"Bido, Osvaldo",SL,7.1311,3.346,0.2978,85.247,411
"Bieber, Shane",CH,-13.1471,-0.5585,0.1444,88.9647,136
"Bieber, Shane",FC,1.981,7.15,0.1274,87.5,120
"Bieber, Shane",FF,-10.2203,17.7849,0.3323,92.624,313
"Bieber, Shane",KC,7.5075,-12.1605,0.1794,82.7337,169
"Bieber, Shane",SL,1.13,-0.7729,0.2166,85.4186,204
"Bigge, Hunter",FF,-4.2176,17.9435,0.4493,97.5676,102
"Bigge, Hunter",SL,5.0887,2.5687,0.4449,89.1317,101
"Bird, Jake",CU,16.0678,-8.744,0.2268,80.5613,217
"Bird, Jake",SI,-11.2178,0.3871,0.3427,94.4,328
"Bird, Jake",ST,14.3248,6.03,0.4054,83.9894,388
"Birdsong, Hayden",CH,-11.889,-0.0257,0.1683,88.7209,201
"Birdsong, Hayden",CU,3.8462,-12.6372,0.1298,80.309,155
"Birdsong, Hayden",FF,-6.0143,18.0569,0.4414,95.5108,527
"Birdsong, Hayden",SL,1.953,7.1039,0.2437,88.9244,291
"Bivens, Spencer",CH,-11.4188,2.3461,0.153,88.4793,198
"Bivens, Spencer",FC,1.4659,10.243,0.272,90.9977,352
"Bivens, Spencer",FF,-7.5037,13.7689,0.0626,95.2099,81
"Bivens, Spencer",SI,-15.9709,6.5491,0.3756,94.7957,486
"Bivens, Spencer",ST,12.6222,3.6967,0.0835,83.1398,108
"Bivens, Spencer",SV,5.5026,-4.9026,0.0533,79.8638,69
"Blackburn, Paul",CH,-11.0574,3.6052,0.0983,86.5957,69
"Blackburn, Paul",CU,8.0456,-15.9304,0.1211,80.5235,85
"Blackburn, Paul",FC,4.1777,6.2456,0.2764,90.0485,194
"Blackburn, Paul",SI,-12.9047,7.2413,0.3063,92.6907,215
"Blackburn, Paul",ST,16.9964,-5.0673,0.1567,81.6591,110
"Blalock, Bradley",CU,1.1093,-9.6907,0.1307,80.9896,135
"Blalock, Bradley",FC,4.54,4.7188,0.0987,89.7833,102
"Blalock, Bradley",FF,-2.8828,16.8534,0.4637,94.5967,479
"Blalock, Bradley",FS,-8.5254,7.6127,0.152,86.849,157
"Blalock, Bradley",SL,4.02,-2.2252,0.1549,85.2819,160
"Blanco, Ronel",CH,-13.6861,6.2485,0.1248,84.3626,99
"Blanco, Ronel",CU,10.2365,-1.5287,0.203,80.1609,161
"Blanco, Ronel",FF,-6.7043,18.8014,0.3569,93.2046,283
"Blanco, Ronel",SL,2.9093,6.3941,0.3153,85.536,250
"Blewett, Scott",FF,-5.3353,14.707,0.3601,93.3879,256
"Blewett, Scott",FS,-6.4604,2.3244,0.1899,84.9993,135
"Blewett, Scott",SL,2.2532,-0.6172,0.4416,84.0118,314
"Blubaugh, AJ",CH,-17.3694,7.1608,0.1933,86.3949,98
"Blubaugh, AJ",FF,-11.7345,17.8174,0.5483,94.6176,278
"Blubaugh, AJ",ST,15.3211,1.2322,0.213,81.7852,108
"Booser, Cam",FC,-3.3118,0.8014,0.1961,87.2696,112
"Booser, Cam",FF,7.2998,16.1148,0.4588,95.5172,262
"Booser, Cam",ST,-13.0873,-4.109,0.3187,81.111,182
"Borucki, Ryan",FS,13.1965,0.2575,0.1734,83.8126,103
"Borucki, Ryan",SI,18.09,8.5046,0.2626,93.925,156
"Borucki, Ryan",SL,-1.4754,2.4162,0.4108,85.8561,244
"Borucki, Ryan",ST,-14.0136,-0.9297,0.1532,81.1198,91
"Boushley, Caleb",CH,-14.6473,6.551,0.1321,85.0204,98
"Boushley, Caleb",CU,7.5,-11.24,0.0728,75.8833,54
"Boushley, Caleb",FC,1.2197,11.4943,0.1887,89.6914,140
"Boushley, Caleb",FF,-5.5517,16.5092,0.1941,91.941,144
