player_name,pitch_type,pitches,command_dispersion,dispersion_z,dispersion_z_relative,used_handedness_split,avg_clusters_per_split,raw_command_score,command_score,confidence_score,trusted_command_score
"Martinez, Nick",CH,515,1.0091699169428745,0.31090303438088035,0.31090303438088035,True,1.0,-0.31090303438088035,34.40944881889764,100.0,34.40944881889764
"Javier, Cristian",ST,123,1.1245720503793646,1.1450062243264536,1.1450062243264536,True,1.0,-1.1450062243264536,11.88976377952756,41.0,34.38641732283465
"Rea, Colin",CH,316,1.0093177716810522,0.31225659009622814,0.31225659009622814,True,1.0,-0.31225659009622814,34.330708661417326,100.0,34.330708661417326
"Crochet, Garrett",CH,134,1.0847074838974076,1.002421660939191,1.002421660939191,True,1.0,-1.002421660939191,14.881889763779526,44.666666666666664,34.3248031496063
"Wheeler, Zack",FC,206,0.9685238395521718,0.5195485423798499,0.5195485423798499,True,1.0,-0.5195485423798499,27.125984251968504,68.66666666666667,34.299343832020995
"Gilbert, Tyler",SI,263,0.93119611588536,0.37001789948665037,0.37001789948665037,True,1.0,-0.37001789948665037,32.08661417322835,87.66666666666667,34.29835958005249
"Burke, Sean",FF,1023,0.9616146571979158,0.3125952179068297,0.3125952179068297,True,1.0,-0.3125952179068297,34.29133858267717,100.0,34.29133858267717
"Zeferjahn, Ryan",FC,226,0.963558642971065,0.45544481888145666,0.45544481888145666,True,1.0,-0.45544481888145666,29.09448818897638,75.33333333333333,34.25603674540683
"May, Dustin",ST,853,1.04622936012979,0.3126077214773948,0.3126077214773948,True,1.0,-0.3126077214773948,34.25196850393701,100.0,34.25196850393701
"Elder, Bryce",CH,263,1.015689061958868,0.3705834078632277,0.3705834078632277,True,1.0,-0.3705834078632277,32.00787401574804,87.66666666666667,34.22933070866142
"Cameron, Noah",CU,417,1.132433596223101,0.3134698296959744,0.3134698296959744,True,1.0,-0.3134698296959744,34.21259842519685,100.0,34.21259842519685
"Williams, Gavin",CU,644,1.132609969670263,0.3148199995293354,0.3148199995293354,True,1.0,-0.3148199995293354,34.17322834645669,100.0,34.17322834645669
"Baz, Shane",CH,311,1.0098850620036057,0.31744992422821267,0.31744992422821267,True,1.0,-0.31744992422821267,34.13385826771654,100.0,34.13385826771654
"Strider, Spencer",CH,97,1.2924219045511804,2.9039707401319297,2.9039707401319297,True,1.0,-2.9039707401319297,0.7874015748031495,32.33333333333333,34.10124671916011
"Patrick, Chad",CH,134,1.0864925433000774,1.0187632228431138,1.0187632228431138,True,1.0,-1.0187632228431138,14.37007874015748,44.666666666666664,34.09619422572179
"Doval, Camilo",SI,138,0.9745207362790267,0.9701417940569291,0.9701417940569291,True,1.0,-0.9701417940569291,15.393700787401574,46.0,34.091732283464566
"Baker, Bryan",CH,307,1.0100150989354584,0.31864036448386357,0.31864036448386357,True,1.0,-0.31864036448386357,34.01574803149606,100.0,34.01574803149606
"McDaniels, Garrett",SL,100,1.2026300460421284,2.3399766499765096,2.3399766499765096,True,1.0,-2.3399766499765096,1.9291338582677164,33.33333333333333,33.98950131233597
"Granillo, Andre",SL,235,1.0247375999559556,0.4433842981690404,0.4433842981690404,True,1.0,-0.4433842981690404,29.527559055118108,78.33333333333333,33.96751968503937
"Ferguson, Tyler",SI,147,0.9694489476071017,0.899888401353735,0.899888401353735,True,1.0,-0.899888401353735,17.244094488188978,49.0,33.95964566929134
"Rodríguez, Manuel",SL,214,1.0309454082810434,0.5095685687768268,0.5095685687768268,True,1.0,-0.5095685687768268,27.48031496062992,71.33333333333334,33.941601049868765
"Hicks, Jordan",ST,272,1.051149211637448,0.36488160964957567,0.36488160964957567,True,1.0,-0.36488160964957567,32.20472440944882,90.66666666666666,33.86745406824147
"Peralta, Luis",FF,308,0.962314076128423,0.3224990734862117,0.3224990734862117,True,1.0,-0.3224990734862117,33.85826771653544,100.0,33.85826771653544
