player_name,comp_player_name,rank,physical_distance
"Backhus, Kyle","Lopez, Jacob",7,1.9467857540430205
"Backhus, Kyle","Harrison, Kyle",8,1.9914679062081786
"Backhus, Kyle","Hudson, Bryan",9,2.040459877729573
"Backhus, Kyle","Sears, JP",10,2.3098030709068924
"Baker, Bryan","Bradish, Kyle",1,0.4141676012041962
"Baker, Bryan","Ribalta, Orlando",2,0.6775195068797697
"Baker, Bryan","Birdsong, Hayden",3,0.729629748274867
"Baker, Bryan","Bradley, Taj",4,0.7719524417849523
"Baker, Bryan","Reynolds, Sean",5,0.8041290344152043
"Baker, Bryan","Enright, Nic",6,0.830133250405316
"Baker, Bryan","Ashcraft, Braxton",7,0.8325509223006615
"Baker, Bryan","Brown, Ben",8,0.8509154218835201
"Baker, Bryan","Merryweather, Julian",9,0.9156677076275495
"Baker, Bryan","Fairbanks, Pete",10,0.9390681337651989
"Banda, Anthony","King, John",1,0.5710409728205622
"Banda, Anthony","Alexander, Scott",2,0.6301651674840115
"Banda, Anthony","Weathers, Ryan",3,0.7795098809374019
"Banda, Anthony","Speier, Gabe",4,0.7796784259764294
"Banda, Anthony","Peralta, Luis",5,0.783937176361799
"Banda, Anthony","Strahm, Matt",6,0.8087875784253451
"Banda, Anthony","Koenig, Jared",7,0.8656523185382488
"Banda, Anthony","Ferguson, Caleb",8,0.9016678506786727
"Banda, Anthony","Lodolo, Nick",9,0.9079261734776823
"Banda, Anthony","Booser, Cam",10,0.9234035471981312
"Banks, Tanner","Matsui, Yuki",1,0.831101305254719
"Banks, Tanner","Veneziano, Anthony",2,0.9546434479705498
"Banks, Tanner","Newcomb, Sean",3,0.9870448107888564
"Banks, Tanner","Rodón, Carlos",4,1.101569468826359
"Banks, Tanner","Pomeranz, Drew",5,1.118153419359131
"Banks, Tanner","Lucchesi, Joey",6,1.1508654695426757
"Banks, Tanner","Lauer, Eric",7,1.2386850717741062
"Banks, Tanner","Little, Brendon",8,1.246400277372757
"Banks, Tanner","Ray, Robbie",9,1.2670346170142452
"Banks, Tanner","Fisher, Braydon",10,1.2792032914271347
"Barlow, Scott","Darvish, Yu",1,0.5317696717462355
"Barlow, Scott","Flaherty, Jack",2,0.6584056007180318
"Barlow, Scott","Nola, Aaron",3,0.6835411594177739
"Barlow, Scott","Alexander, Jason",4,0.7588202563682123
"Barlow, Scott","Eflin, Zach",5,0.7986163473206386
"Barlow, Scott","Eovaldi, Nathan",6,0.8995322644575987
"Barlow, Scott","Bassitt, Chris",7,0.9065556923884911
"Barlow, Scott","Roupp, Landen",8,0.942624407783303
"Barlow, Scott","Crismatt, Nabil",9,0.9612968326240982
"Barlow, Scott","Kahnle, Tommy",10,1.0128394758949018
"Barnett, Mason","Martin, Corbin",1,0.49473529886014095
"Barnett, Mason","Molina, Anthony",2,0.6352443773300384
"Barnett, Mason","Kochanowicz, Jack",3,0.7297471512085383
"Barnett, Mason","Fermin, José",4,0.7334727495454522
"Barnett, Mason","Ort, Kaleb",5,0.7539033537492623
"Barnett, Mason","Chivilli, Angel",6,0.7599625093321432
"Barnett, Mason","Vest, Will",7,0.7638207080232614
"Barnett, Mason","De los Santos, Yerry",8,0.7778475714687728
"Barnett, Mason","Estévez, Carlos",9,0.8332878743892254
"Barnett, Mason","Schlittler, Cam",10,0.8422160182146881
"Bassitt, Chris","Roupp, Landen",1,0.2740214033169369
"Bassitt, Chris","Eflin, Zach",2,0.5221353314293454
"Bassitt, Chris","Alexander, Jason",3,0.5339761001722098
"Bassitt, Chris","Teng, Kai-Wei",4,0.6626323791190487
"Bassitt, Chris","Flaherty, Jack",5,0.6810298673406363
"Bassitt, Chris","Thornton, Trent",6,0.8364060396338737
"Bassitt, Chris","Darvish, Yu",7,0.8473379795314113
"Bassitt, Chris","Webb, Jacob",8,0.8665454940732167
"Bassitt, Chris","Junis, Jakob",9,0.8826185399459565
"Bassitt, Chris","Gray, Sonny",10,0.8943396149780842
"Bautista, Félix","Megill, Trevor",1,0.9140697788507249
"Bautista, Félix","Fairbanks, Pete",2,1.0464489738264453
"Bautista, Félix","Reynolds, Sean",3,1.2699629340019314
"Bautista, Félix","Petersen, Michael",4,1.3893021780023072
"Bautista, Félix","Headrick, Brent",5,1.4000613282272416
"Bautista, Félix","Baker, Bryan",6,1.5070724004787386
"Bautista, Félix","Brown, Ben",7,1.5197556086869035
"Bautista, Félix","Burns, Chase",8,1.5384175528933894
"Bautista, Félix","Alvarado, José",9,1.576199104404336
"Bautista, Félix","Schlittler, Cam",10,1.665793131097065
"Baz, Shane","Kerkering, Orion",1,0.3051910942104301
"Baz, Shane","Pérez, Eury",2,0.3720301037996637
"Baz, Shane","Meyer, Max",3,0.3824791288825864
"Baz, Shane","Severino, Luis",4,0.4269279533197202
"Baz, Shane","Chivilli, Angel",5,0.4279940368297232
"Baz, Shane","Rodríguez, Yariel",6,0.46609176877787883
"Baz, Shane","Estévez, Carlos",7,0.4800475073997543
"Baz, Shane","Miller, Bryce",8,0.5059234346339903
"Baz, Shane","Matthews, Zebby",9,0.5082984831610506
"Baz, Shane","Kirby, George",10,0.512610881690514
"Bazardo, Eduard","Sims, Lucas",1,0.45818439622195223
"Bazardo, Eduard","Garcia, Rico",2,0.4773032851790566
"Bazardo, Eduard","Holmes, Grant",3,0.5028847381226494
"Bazardo, Eduard","Olson, Reese",4,0.5157915927249415
"Bazardo, Eduard","Sands, Cole",5,0.5379842912401122
"Bazardo, Eduard","Boushley, Caleb",6,0.5496554937675353
"Bazardo, Eduard","Guerrero, Luis",7,0.5772803840375932
"Bazardo, Eduard","Canning, Griffin",8,0.5800861330126229
"Bazardo, Eduard","Strickland, Hunter",9,0.6171618716480586
"Bazardo, Eduard","Knack, Landon",10,0.6253506461355991
"Beck, Tristan","Francis, Bowden",1,0.3356372301180745
"Beck, Tristan","Blanco, Ronel",2,0.3661212684356325
"Beck, Tristan","McGreevy, Michael",3,0.4270226280479252
"Beck, Tristan","Paddack, Chris",4,0.588847803716145
"Beck, Tristan","Smith-Shawver, AJ",5,0.632137044870459
"Beck, Tristan","Orze, Eric",6,0.6376171000254486
"Beck, Tristan","Carrasco, Carlos",7,0.6557855735786282
"Beck, Tristan","Gallen, Zac",8,0.6882152371836128
"Beck, Tristan","Robertson, David",9,0.6957785903513882
"Beck, Tristan","Fedde, Erick",10,0.7238197697715416
"Bednar, David","Keller, Mitch",1,0.20082121083122104
"Bednar, David","Cecconi, Slade",2,0.22087368962999127
"Bednar, David","Sulser, Cole",3,0.31102720536144146
"Bednar, David","Brebbia, John",4,0.31947417460273464
"Bednar, David","Phillips, Tyler",5,0.324869430330676
"Bednar, David","Bergert, Ryan",6,0.3259392218444357
"Bednar, David","Gusto, Ryan",7,0.3973283295708906
"Bednar, David","Fedde, Erick",8,0.41547477765513463
"Bednar, David","Hatch, Thomas",9,0.4417385643358679
"Bednar, David","Dana, Caden",10,0.5114313498013034
"Beeks, Jalen","Skubal, Tarik",1,0.7273708780000901
"Beeks, Jalen","Soto, Gregory",2,0.7933011393439702
"Beeks, Jalen","Miller, Erik",3,0.8224232484646108
"Beeks, Jalen","Sabrowski, Erik",4,0.8713268056597361
"Beeks, Jalen","Dreyer, Jack",5,0.9404207097214276
"Beeks, Jalen","Crochet, Garrett",6,0.9443502303364558
"Beeks, Jalen","Rodriguez, Eduardo",7,0.9509970254670292
"Beeks, Jalen","Alexander, Scott",8,0.9722962254932883
"Beeks, Jalen","Latz, Jacob",9,0.972620863958467
"Beeks, Jalen","Burke, Brock",10,0.9762810503747338
"Beeter, Clayton","Montas, Frankie",1,0.26521284983468324
"Beeter, Clayton","Hernández, Daysbel",2,0.4293208219007648
"Beeter, Clayton","Alcantara, Sandy",3,0.4817525429570145
"Beeter, Clayton","Brieske, Beau",4,0.5083557787781637
"Beeter, Clayton","Mejia, Juan",5,0.5462962205407308
"Beeter, Clayton","Phillips, Connor",6,0.5901555496632631
"Beeter, Clayton","Keller, Brad",7,0.6050744556083932
"Beeter, Clayton","Faucher, Calvin",8,0.6220679341126488
"Beeter, Clayton","Agnos, Zach",9,0.6295759024004547
"Beeter, Clayton","Kowar, Jackson",10,0.7025887657886695
"Bello, Brayan","Bachman, Sam",1,0.2866869107348272
"Bello, Brayan","Perkins, Jack",2,0.35678957390648286
"Bello, Brayan","De Los Santos, Enyel",3,0.3696007934125437
"Bello, Brayan","Buttó, José",4,0.4268619402315217
"Bello, Brayan","Mlodzinski, Carmen",5,0.44663089953310686
"Bello, Brayan","Yamamoto, Yoshinobu",6,0.5863479996739107
"Bello, Brayan","Meyer, Max",7,0.603169099073916
"Bello, Brayan","Kolek, Stephen",8,0.6091076103274172
"Bello, Brayan","Dollander, Chase",9,0.6115741415305728
"Bello, Brayan","Patrick, Chad",10,0.6257154038645765
"Bellozo, Valente","Kriske, Brooks",1,0.6337782733927843
"Bellozo, Valente","Coulombe, Danny",2,0.683647437879911
"Bellozo, Valente","Martinez, Nick",3,0.8134258777253198
