player_name,n_pitch_types,horizontal_coverage,horizontal_coverage_pre_dampening,vertical_coverage,vertical_coverage_pre_dampening,velocity_range,hull_area,hull_area_pre_dampening,hull_method,fastball_relative_break,fastball_relative_break_pre_dampening,anchor_type,no_anchor_available,avg_nn_distance,avg_nn_distance_pre_dampening,quadrant_coverage_count,confidence_score,raw_movement_score,movement_score,trusted_movement_score
"Rodríguez, Yariel",4,21.5225240809171,23.1293,11.567735101453401,12.9136,9.990499999999997,139.66023078084174,155.69038200000003,hull,14.298872359081672,14.540860760198887,FF,False,10.562260161203442,10.243805399422488,2,100.0,-0.6183543429489075,30.193905817174517,30.193905817174517
"Halvorsen, Seth",3,16.990781880863324,15.7818,13.00606533628505,11.9934,10.58189999999999,91.7160672683955,79.65454572,hull,14.366418815996438,14.184340164670378,FF,False,11.74728937965459,11.986903399441232,2,75.0,-0.908797801336026,23.26869806094183,29.968836565096954
"Hill, Tim",2,6.128639680809544,2.103900000000001,12.5469955711167,9.1758,1.545100000000005,59.45815993594932,19.30496562000001,bbox,10.020055669878,9.413909966108664,SI,False,8.616227164754427,9.413909966108664,2,50.0,-2.2728395439954054,9.556786703601109,29.813019390581715
"Darnell, Dugan",2,7.4675396808095424,3.4427999999999996,11.1420955711167,7.7709,9.166299999999993,66.9068488359493,26.753654519999998,bbox,9.105543250066367,8.49939754629703,FF,False,7.701714744942795,8.49939754629703,1,50.0,-2.3887588848236234,9.141274238227147,29.605263157894736
"Hoeing, Bryan",2,11.773239680809542,7.7485,6.705695571116699,3.3345,6.0785999999999945,65.9905675659493,25.83737325,bbox,9.041674288274281,8.435528584504945,SI,False,7.63784578315071,8.435528584504945,1,50.0,-2.391942400176283,9.002770083102494,29.536011080332408
"Mattson, Isaac",3,15.647681880863322,14.4387,14.19626533628505,13.1836,8.614199999999997,89.6163264433955,77.55480489499999,hull,14.11216856616356,13.930089914837499,FF,False,11.716048456904987,11.955662476691629,2,75.0,-0.956146325224312,22.299168975069254,29.241689750692522
"Vargas, Carlos",3,20.297981880863322,19.089,7.45766533628505,6.445,7.253599999999992,68.52512372839551,56.46360218000001,hull,17.711437417026804,17.529358765700742,SI,False,9.995915208959275,10.235529228745916,2,75.0,-0.9677129435459549,22.160664819944596,29.137811634349028
"Allen, Logan",5,23.428766280970883,27.851300000000002,11.87080486662175,15.575199999999999,13.147199999999998,116.52278325328793,160.64460724,hull,14.714583516770526,15.380638970331017,FF,False,9.520895453165796,8.644371909817249,2,100.0,-0.6675819680427613,28.80886426592798,28.80886426592798
"Soriano, George",5,20.92216628097088,25.3447,10.815104866621752,14.5195,10.892799999999994,149.1765547382879,193.29837872499996,hull,15.581965661736115,16.248021115296606,SI,False,8.843785912319113,7.967262368970566,4,100.0,-0.6700721624072451,28.670360110803323,28.670360110803323
"Hodge, Porter",3,17.47198188086332,16.262999999999998,15.233965336285051,14.221300000000001,12.073899999999995,15.783318028395511,3.7217964800000054,hull,18.81866053353843,18.63658188221237,FF,False,8.949129010808393,9.188743030595035,2,75.0,-0.9909369019494001,21.46814404432133,28.61842105263158
"Rogers, Trevor",5,20.83706628097088,25.2596,10.305504866621751,14.0099,14.742700000000013,173.3057734782879,217.427597465,hull,15.195290965216394,15.861346418776884,FF,False,8.161759708993548,7.285236165645001,2,100.0,-0.6722681606759241,28.53185595567867,28.53185595567867
"Kinley, Tyler",3,6.809281880863322,5.600300000000001,23.26136533628505,22.2487,11.51870000000001,29.826025463395503,17.764503915,hull,17.988023679567725,17.805945028241663,FF,False,10.97247356262281,11.21208758240945,3,75.0,-0.9968390379432794,21.329639889196674,28.514542936288088
"Morillo, Juan",4,18.8282240809171,20.435,16.3868351014534,17.7327,9.665000000000006,126.56969831084174,142.59984953000003,hull,13.727597148766721,13.969585549883936,FF,False,10.067591520361932,9.749136758580978,2,100.0,-0.6826314465939805,28.254847645429365,28.254847645429365
"Holman, Grant",3,11.496381880863321,10.2874,15.44646533628505,14.4338,7.995399999999989,85.7293126833955,73.667791135,hull,15.555750799254708,15.373672147928648,FF,False,11.475050017967142,11.714664037753783,2,75.0,-1.0240274272886767,20.914127423822716,28.202908587257618
"Anderson, Ian",2,6.720839680809543,2.6961000000000004,8.695495571116698,5.324299999999999,5.570599999999999,54.50803954594931,14.35484523,bbox,6.574154224205613,5.9680085204362765,FF,False,5.170325719082041,5.9680085204362765,1,50.0,-3.027873575108128,5.955678670360111,28.01246537396122
"Zastryzny, Rob",3,16.314681880863322,15.105699999999999,13.521865336285051,12.509200000000002,11.3095,56.720348583395484,44.65882703499998,hull,17.277810720502327,17.095732069176265,FF,False,9.164075370478793,9.403689390265434,2,75.0,-1.0492690688936626,20.63711911357341,27.99515235457064
"Hanifee, Brenan",3,19.656581880863325,18.4476,10.52016533628505,9.5075,8.381600000000006,82.52861620839552,70.46709466000001,hull,13.653467613947726,13.471388962621665,SI,False,10.956526380273438,11.196140400060079,2,75.0,-1.0597466519798824,20.498614958448755,27.891274238227147
"Winans, Allan",2,5.325739680809541,1.3009999999999984,8.691195571116701,5.32,7.134399999999999,47.0745143159493,6.921319999999992,bbox,6.082914915631381,5.476769211862044,SI,False,4.679086410507809,5.476769211862044,1,50.0,-3.217847222191536,5.678670360110803,27.873961218836563
"Severino, Luis",5,25.383366280970883,29.8059,10.21620486662175,13.920599999999999,11.562899999999999,121.25669578328792,165.37851977,hull,13.455125786618,14.12118124017849,FF,False,9.825287775856463,8.948764232507916,2,100.0,-0.7059074479968288,27.839335180055404,27.839335180055404
"Stroman, Marcus",4,29.4696240809171,31.0764,7.5933351014534,8.9392,7.6240999999999985,85.7231519408417,101.75330315999999,hull,14.327987463975882,14.569975865093097,SI,False,9.859509892471166,9.541055130690212,3,100.0,-0.7123216000905415,27.42382271468144,27.42382271468144
"Molina, Anthony",4,15.634324080917102,17.2411,16.243235101453397,17.5891,12.189599999999999,130.15729573584173,146.187446955,hull,15.056774108214404,15.298762509331619,FF,False,9.65932791218908,9.340873150408125,3,100.0,-0.7548014307194773,27.28531855955679,27.28531855955679
"Giolito, Lucas",3,16.79668188086332,15.5877,14.412165336285051,13.399500000000002,11.597499999999997,80.77755536839551,68.71603382,hull,12.555660915215759,12.373582263889698,FF,False,10.85299713293803,11.092611152724672,2,75.0,-1.13475010750159,19.390581717451525,27.060249307479225
"Kolek, Stephen",6,22.869708481024663,30.108,7.3601746317901,13.4231,11.491600000000005,143.11467997573408,215.32817673,hull,14.683174371288857,15.773296877292623,FF,False,9.641417554547088,8.206825229630946,4,100.0,-0.7732741977315706,27.008310249307478,27.008310249307478
"Hamilton, Ian",3,18.220181880863326,17.011200000000002,11.017665336285049,10.004999999999999,7.573299999999989,79.13776638839552,67.07624484000002,hull,13.496312011828161,13.3142333605021,SI,False,10.765654945765245,11.005268965551886,2,75.0,-1.155377860454982,19.113573407202217,26.852493074792243
"Hurter, Brant",4,25.4916240809171,27.098399999999998,7.8204351014534,9.1663,10.066699999999997,117.0979684758417,133.12811969499998,hull,14.404110368674507,14.646098769791722,SI,False,9.484640275441057,9.166185513660103,2,100.0,-0.7791662133287942,26.59279778393352,26.59279778393352
"Nelson, Ryne",4,9.374424080917104,10.981200000000001,26.196435101453396,27.542299999999997,15.647599999999997,0.01,14.360765674999993,hull,20.56819549271411,20.810183893831326,FF,False,9.38600087024236,9.067546108461405,3,100.0,-0.7794496656237654,26.454293628808866,26.454293628808866
"Hoffman, Jeff",4,17.793524080917102,19.4003,15.5385351014534,16.8844,9.335300000000004,129.74555368084168,145.77570489999997,hull,13.469572456012049,13.711560857129264,FF,False,9.927480078275824,9.60902531649487,2,100.0,-0.7939257811439486,26.31578947368421,26.31578947368421
"Suter, Brent",4,16.1469240809171,17.7537,16.553935101453398,17.8998,12.39240000000001,120.19030070584174,136.22045192500002,hull,15.24917038629127,15.491158787408486,FF,False,9.048843722061624,8.73038896028067,3,100.0,-0.7955378712769751,26.177285318559555,26.177285318559555
"Peterson, David",5,16.633366280970883,21.0559,17.978704866621754,21.683100000000003,13.569500000000005,132.45478852828796,176.57661251500002,hull,14.34367747371878,15.00973292727927,SI,False,8.083695920476318,7.207172377127771,2,100.0,-0.8025511980222745,26.038781163434905,26.038781163434905
"Ray, Robbie",4,11.424424080917102,13.0312,22.1977351014534,23.5436,12.383300000000006,100.49153814084173,116.52168936000001,hull,14.618091853128268,14.860080254245483,FF,False,10.403632240110978,10.085177478330024,2,100.0,-0.8091250968803856,25.90027700831025,25.90027700831025
