player_name,boundary_type,vertex_order,HB,IVB
"Castillo, José",hull,0,-5.2349,-1.1504
"Castillo, José",hull,1,15.5283,5.528
"Castillo, José",hull,2,6.4252,13.2444
"Castillo, Luis",hull,0,-12.9804,12.3906
"Castillo, Luis",hull,1,-18.576,3.6929
"Castillo, Luis",hull,2,-17.6866,-0.5752
"Castillo, Luis",hull,3,0.9853,-0.349
"Castillo, Luis F.",bbox,0,-12.7184,9.9413
"Castillo, Luis F.",bbox,1,-12.7184,9.9413
"Castillo, Luis F.",bbox,2,-12.7184,9.9413
"Castillo, Luis F.",bbox,3,-12.7184,9.9413
"Castro, Miguel",bbox,0,-17.2536,7.0152
"Castro, Miguel",bbox,1,-17.2536,7.0152
"Castro, Miguel",bbox,2,-17.2536,7.0152
"Castro, Miguel",bbox,3,-17.2536,7.0152
"Cavalli, Cade",hull,0,-17.6972,6.111
"Cavalli, Cade",hull,1,6.2895,-12.8415
"Cavalli, Cade",hull,2,0.4057,8.7505
"Cavalli, Cade",hull,3,-4.3588,15.0672
"Cease, Dylan",hull,0,-3.7204,18.5288
"Cease, Dylan",hull,1,3.0148,-15.5049
"Cease, Dylan",hull,2,1.2326,3.3315
"Cecconi, Slade",hull,0,-10.7538,15.8379
"Cecconi, Slade",hull,1,-16.2825,8.6331
"Cecconi, Slade",hull,2,-14.1059,3.2496
"Cecconi, Slade",hull,3,9.2379,-12.7661
"Cecconi, Slade",hull,4,5.3013,0.4004
"Chafin, Andrew",hull,0,-0.8658,-2.0506
"Chafin, Andrew",hull,1,14.6074,12.5122
"Chafin, Andrew",hull,2,8.318,16.5054
"Chandler, Bubba",hull,0,-16.7204,6.7858
"Chandler, Bubba",hull,1,1.986,1.044
"Chandler, Bubba",hull,2,-8.8814,17.3108
"Chapman, Aroldis",hull,0,-10.3538,4.68
"Chapman, Aroldis",hull,1,5.1863,3.912
"Chapman, Aroldis",hull,2,10.9635,17.0254
"Chapman, Aroldis",hull,3,3.4447,18.4768
"Chavez, Jesse",bbox,0,-16.1776,7.4339
"Chavez, Jesse",bbox,1,-1.9527,7.4339
"Chavez, Jesse",bbox,2,-1.9527,12.52
"Chavez, Jesse",bbox,3,-16.1776,12.52
"Chivilli, Angel",hull,0,0.9486,4.0505
"Chivilli, Angel",hull,1,-14.2603,9.5174
"Chivilli, Angel",hull,2,-11.7058,7.0383
"Civale, Aaron",hull,0,-7.3401,17.8704
"Civale, Aaron",hull,1,-14.3915,11.7624
"Civale, Aaron",hull,2,-13.5388,5.9941
