player_name,p_throws,horizontal_coverage,vertical_coverage,velocity_range,hull_area,centroid_dispersion,avg_nn_distance,map_x,map_y
"Walter, Brandon",L,34.2987,14.4142,12.250799999999998,249.027513365,12.9775090662668,10.16255859489868,1.3292675441376969,-0.27597811998950333
"Bazardo, Eduard",R,32.2697,20.1831,12.977900000000004,144.37562458500005,15.3653864404741,16.88906051696444,1.7647761941484243,0.5677633594179657
"Quintana, Jose",L,24.6613,22.3476,12.334999999999994,288.274533195,12.85455820505452,8.083860814505423,1.3183234305311957,-1.0202917865408394
"Bruihl, Justin",L,37.3074,4.8261,11.8335,180.04924314000002,18.809129006748293,37.618258013496586,2.632196968554772,4.115920630377815
"Phillips, Connor",R,24.11,16.8515,12.342799999999997,406.289665,14.707694858899542,29.415389717799084,2.625849607584058,1.852924654625535
"Gore, MacKenzie",L,18.6715,29.9928,13.692099999999996,191.63771535,12.15126326886955,13.502988859260736,1.312417915999049,-0.6210823890288297
"Casparius, Ben",R,16.8078,32.407,15.365099999999998,149.95182613000003,12.054310407536947,12.771020459822685,1.3097915118785528,-0.8319866437416896
"Matz, Steven",L,26.4847,21.6505,15.006199999999993,153.07628236000002,14.49287047726765,17.10154033777933,1.7186344684522346,0.37934999232974237
"Pallante, Andre",R,14.7482,30.3798,16.778499999999994,161.24188009999995,12.01577109036374,12.110322890723271,1.2863128496435516,-0.8990883376968927
"Barnett, Mason",R,14.7078,31.2738,15.8664,165.077509235,13.379163476211945,18.92891549119762,1.705066983253833,0.022384499219763255
"Suarez, Ranger",L,27.0308,20.1813,17.355999999999995,195.31216955,10.77796344876366,9.407385401191208,1.2775714544188137,-0.8718759276988118
"Hudson, Bryan",L,24.2748,17.3315,9.884199999999993,420.7186962,14.913473834841431,29.826947669682863,2.501848609739385,1.9643171119458973
"Cavalli, Cade",R,23.9867,27.9087,11.00330000000001,266.66729654,11.85312578367876,9.411062506647914,1.2452242199829158,-1.0758909980544686
"Bieber, Shane",R,20.6546,29.9454,9.890299999999996,294.83587602,11.46016400268681,11.890609118442573,1.2385976860230732,-0.8856193901585041
"Harrison, Kyle",L,24.637,15.2853,12.423599999999992,376.5839361,14.49674243657864,28.99348487315728,2.4325594895908798,1.9157048644973944
"Henriquez, Ronny",R,29.8611,17.214199999999998,11.303599999999989,235.28367117,12.408670039022027,13.75933609794208,1.1938337129313719,0.07848878197099303
"Crochet, Garrett",L,29.934600000000003,18.9289,13.650099999999997,166.137196365,12.333041054632734,12.457725462908977,1.1877325186786634,-0.1457452531454739
"Funderburk, Kody",L,31.0276,15.2159,11.1948,278.41322994,12.588768085221744,9.91123775186468,1.1676065986904156,-0.37956356207741504
"Holmes, Clay",R,31.6875,19.8079,11.800200000000004,255.67230800000004,11.316554414305708,8.7887913533686,1.1639305486353448,-0.7874582075522129
"Wilson, Bryse",R,33.010400000000004,16.4701,11.768600000000006,229.605072545,12.559495859181968,9.484989389099288,1.1613354601901584,-0.42990493769502436
"Wilson, Steven",R,28.0056,19.229,11.7543,197.876206155,13.988886054312674,19.04297535005131,1.531975674463614,0.7750662081145488
"Alexander, Jason",R,33.4034,12.1136,13.429000000000002,181.11438752,13.327108655304269,11.112033761183964,1.1409678294267755,0.04577862668140234
"Schwellenbach, Spencer",R,23.3129,22.0392,16.0488,239.77264116500004,10.52566463070004,7.953468170059765,1.1408475699239995,-1.1920130462185041
"Horton, Cade",R,25.7176,21.1316,12.377300000000004,267.20151466500005,12.095115834840394,8.123190616120192,1.1406206621494668,-0.9535119814521458
"Sandlin, Nick",R,28.1088,14.7167,13.009500000000005,203.985975045,14.015300138498697,19.372489539091024,1.5062481490944952,0.9771658707687879
"Mlodzinski, Carmen",R,24.866100000000003,22.2623,12.0604,291.42016879,11.20082422770164,8.833480260273642,1.1278789810464953,-0.9898554639688258
"Bubic, Kris",L,26.6392,22.8958,9.1952,289.1051254199999,11.875618763585074,11.441469287655664,1.12716616220329,-0.5350243695632515
"Jacob, Alek",R,34.8622,11.114,13.427200000000012,176.66226265499998,13.158351797467478,11.226849829063877,1.1258395576892153,0.11144276012726871
"Kelly, Merrill",R,25.046100000000003,24.8087,10.641800000000003,292.257018635,11.427599450600054,8.601376456452028,1.1253611329307753,-1.077751397215305
"Smith-Shawver, AJ",R,18.9453,27.0994,18.29170000000001,91.79655165,13.370969848754818,14.665396004807995,1.4955774743381072,-0.2816475197889332
"Jax, Griffin",R,28.2614,19.3255,9.240300000000005,254.4400838,12.797285288854688,13.542338241061591,1.1207745353813936,0.011728965554153379
"Ramírez, Yohan",R,27.7863,21.255,13.17070000000001,142.56700213,14.35607518597508,16.434418837209346,1.4859870057407651,0.40059001746601075
"Abel, Mick",R,24.7702,25.7707,13.779899999999998,179.48483592,11.33337185630101,10.216057458040972,1.1088372898746277,-0.8473182583255089
"Littell, Zack",R,25.6818,19.8258,12.668400000000004,256.507345125,11.334867312695092,11.297259151572607,1.1077605217994253,-0.5108033539412875
"Anderson, Grant",R,31.7545,11.8191,13.229400000000012,182.665376925,14.354900825916934,18.057504015998703,1.4655597986486568,0.9993784814344847
"Abbott, Andrew",L,27.1038,20.0524,12.218800000000002,203.130479175,13.74902791707218,7.832059480880378,1.0958386723237674,-0.7408988666446072
"Yarbrough, Ryan",L,30.0974,12.6159,16.4756,186.62937997000003,11.964603172735377,8.745877001449893,1.0789610538410086,-0.47974089682570903
"Miller, Shelby",R,29.1032,15.630900000000002,11.7076,197.27396274,14.17679730818557,18.958281946509214,1.4347095076432737,0.9522488807343286
"Ort, Kaleb",R,26.2671,20.6744,12.492899999999992,204.66945068999996,11.513467620371664,13.464884288617508,1.0721985889643961,-0.16644781641975262
"Berríos, José",R,30.9482,19.7334,10.435600000000008,236.23462864,11.931717517553295,10.569411058193175,1.0713325606170891,-0.4398638119223763
"Bird, Jake",R,27.2856,14.774,13.838700000000005,193.60097355000005,13.545009356294896,18.637138942429544,1.4283072147571227,0.842974673922971
"Young, Danny",L,37.9536,2.3048,10.662999999999997,87.47545728,19.01175857199959,38.02351714399918,2.128118155115169,4.5116208987946225
"Peralta, Luis",L,22.628,15.3108,13.004199999999996,346.4527824,13.660590952078172,27.321181904156344,2.11798146009954,1.6896771504298245
"Kelly, Kevin",R,34.4867,11.6925,13.4653,179.59626905999997,11.866619290819475,12.60250168191368,1.0430276542647783,0.19336477952755207
"Henry, Cole",R,32.6501,13.6628,13.692300000000005,122.756134485,14.847247158578268,15.7832330374984,1.375150209473502,0.7300480305431788
"Valdez, Framber",L,28.827,20.7445,14.792599999999991,64.10707282499999,15.065679887446144,14.138308892936069,1.373860930077004,0.23978291997991666
"Ryan, Joe",R,32.156800000000004,13.5296,13.012,213.00568217,12.015962071451522,10.358439351605467,1.0278863375679774,-0.22111923691895674
"Bergert, Ryan",R,29.9455,19.2563,10.779799999999994,216.614750655,12.805889198865,9.105519447515343,1.0195286055888595,-0.5446164880262717
"Zuber, Tyler",R,26.3733,11.740199999999998,11.843000000000004,309.62781665999995,14.434189005015142,28.868378010030284,2.0294676067547615,2.213716849940521
"Rogers, Tyler",R,12.3991,26.8594,9.430499999999997,333.03238654,14.79159431205778,29.58318862411556,2.014297397426797,1.6211709440489601
"Rodríguez, Elvin",R,14.4437,34.0496,15.71180000000001,55.51076408,13.393138255987663,17.551800407022643,1.334824431803498,-0.08802706634713679
"Dreyer, Jack",L,13.812,36.0007,13.7885,63.980699645,13.650709439532696,19.204903170599533,1.3319665609455265,0.10130800899519254
"Bednar, David",R,16.2852,25.5498,19.393500000000003,101.42342697,11.97359728530916,15.364072390536252,1.3134497395578593,-0.2452758910360099
"Wrobleski, Justin",L,22.3887,25.1722,14.73729999999999,175.98163979499998,10.944133319411891,9.312969823290056,0.9778668860174927,-0.986937896263078
"Murphy, Chris",L,19.7492,29.9284,17.51899999999999,17.33667366000001,12.509426091488438,17.188528327568644,1.2933342154281764,0.02880642927942236
"Guenther, Sean",L,28.4282,9.5513,11.2693,271.52626666000003,14.994914862462542,29.989829724925084,1.9392948563627763,2.5827835376368466
"Lawrence, Justin",R,33.332,4.5,12.0604,149.994,16.817195247721898,33.6343904954438,1.9387917671909576,3.569442958747376
"Phillips, Tyler",R,27.1187,20.0886,11.387800000000013,247.49006189,11.596934732853423,9.347828790989125,0.9685838170713899,-0.6922160095240001
"May, Dustin",R,35.362300000000005,15.2075,10.18950000000001,157.476627905,12.673957661991128,13.12620106729974,0.9441582015777084,0.2974188789830319
"Hicks, Jordan",R,26.8067,17.1807,14.9645,206.958285135,11.105853553744383,8.531189484446466,0.942772924988338,-0.7488656050674422
"DeSclafani, Anthony",R,31.5909,15.9325,10.846800000000002,218.60399388,12.341735145883732,10.10460480108819,0.9411066333062338,-0.2800465765565925
"Bellozo, Valente",R,30.7998,13.9829,12.101399999999998,203.915546095,11.650232938653106,13.065885342454331,0.930585558901815,0.1374584081121604
"Abreu, Bryan",R,14.9892,22.6869,10.8005,340.05848148,13.595693695523597,27.19138739104719,1.8545010725059925,1.3998053916454827
"Sabrowski, Erik",L,16.4827,33.7186,13.609700000000004,57.89623482499999,13.327279374466777,18.41590522340352,1.2306795594036304,0.11820301449252128
"Johnson, Pierce",R,18.4288,19.9248,9.4212,367.19015424,13.570356705702322,27.140713411404644,1.8360674635439802,1.5381729842223766
"Cabrera, Génesis",L,23.0407,25.0316,15.5565,155.525049785,9.973227921556685,9.971751183037636,0.9101002915005661,-0.9354001366388834
"Brash, Matt",R,32.9254,11.1856,10.346900000000003,171.09385715500002,14.9187356510166,17.72556930630237,1.210135117481998,1.1505042621082866
"Shugart, Chase",R,31.0533,14.9657,14.414,129.34176590499996,11.746512536207378,11.86656630828778,0.9026363932969753,-0.01900329876215844
"Keller, Brad",R,27.3301,18.7109,10.993899999999996,251.476585035,11.930119974201876,8.401660725900545,0.8950447456292143,-0.7222857019701233
"Hoglund, Gunnar",R,26.0844,15.2788,12.381400000000014,227.9608115050001,11.634042800110064,12.8056751208091,0.8917336818830823,-0.02014827949027879
"Soriano, José",R,25.7639,23.2026,12.644299999999989,189.33622838500003,11.050108088740224,9.426403955291558,0.8911925914938497,-0.8072810654972373
"Thompson, Ryan",R,26.7516,15.9758,13.193200000000004,160.68056522999998,13.221906748752154,17.46056836159788,1.179372217648215,0.702541705131111
"Oviedo, Johan",R,23.5743,17.6082,17.751900000000006,139.95617867999997,11.476343650837128,8.06915878022015,0.884427696476346,-0.8086948872678108
"Moll, Sam",L,31.306600000000003,11.5866,10.9568,180.41486853000004,14.21248623478976,17.941012764170598,1.1744405649661211,1.0832514346928879
"Treinen, Blake",R,31.6314,15.0241,11.448700000000002,177.65234079,11.973814761687688,12.84063961503941,0.8791358514919548,0.14655137214706954
"Buttó, José",R,27.122,20.4485,11.65249999999999,209.86278767,11.25735996697487,10.280906950415508,0.8667569325630904,-0.5494339349412556
"Garcia, Brandyn",L,32.6858,4.1929,11.6233,137.04829082,16.476816531493576,32.95363306298715,1.7333202045245921,3.5211737443050666
"Ober, Bailey",R,29.1567,15.9949,11.8356,184.78534149000004,12.10722622459359,11.867188135180736,0.8583296675834414,-0.050845341006070494
"Miller, Mason",R,17.1388,18.4023,13.389300000000006,315.39333924,12.573614344431752,25.14722868886351,1.7131295553486157,1.2433862707196905
"Lively, Ben",R,25.0013,21.002,13.175200000000004,231.5157393,11.262358209450696,5.875209863493459,0.8518860610280137,-1.24254894908044
"Brown, McCade",R,22.4542,24.873600000000003,15.628799999999998,67.35989099,12.113427337803811,16.995453347223094,1.1237463515656778,0.22222989050088132
"Avila, Luinder",R,24.2861,20.892,13.150900000000007,139.94373022,12.92346740378656,16.11064594965814,1.1132189028294377,0.31197958529846065
"Tidwell, Blade",R,28.0805,15.723499999999998,12.9371,186.57578463999997,11.87670498254681,10.106214194124156,0.8158488056475772,-0.32231379046940606
"Payamps, Joel",R,29.3804,17.2512,11.273300000000006,142.45568132999998,13.646341524165878,16.192087338387847,1.0852635037730343,0.6100215845883624
"Blanco, Ronel",R,23.9226,20.3301,13.0437,177.29843025,11.03982394462147,12.577735936230305,0.8135487930539905,-0.2615946840257836
"Romero, JoJo",L,30.5892,13.6986,11.254999999999995,196.99008569,12.11900631687412,11.921404131696637,0.8092806439673258,0.07181459416775916
"Sale, Chris",L,27.0632,12.2098,15.760799999999987,132.727190815,12.94805385135511,15.585287390633042,1.070473239750937,0.5807203965553341
"Cannon, Jonathan",R,30.5618,13.7276,12.1725,215.25408647,11.564693130803072,9.086315051324087,0.7810956802761044,-0.3870200266792888
"Lauer, Eric",L,17.8071,25.5564,16.659800000000004,164.75545530000002,9.689137046091853,8.66354367256044,0.7656107811821788,-1.2091983233008425
"Senga, Kodai",R,24.0734,18.7473,14.633799999999994,200.776819625,9.860691105881362,10.321832386460168,0.7547598227806915,-0.6321663563464037
"Schreiber, John",R,32.1684,11.3332,11.416899999999998,178.20124602000004,11.860379326541768,13.330489985733085,0.7454395766744579,0.38466805723021286
"Smith, Cade",R,21.2033,18.686200000000003,11.242900000000006,194.19205609000005,12.461852856105628,19.63684876220536,0.9834332360391902,0.8252440100407823
"Holton, Tyler",L,29.8232,15.602899999999998,10.608000000000004,216.91827010000003,11.845623035865769,9.525153928680597,0.7334442647858092,-0.35082782216286423
"Rogers, Trevor",L,25.2596,14.0099,14.742700000000012,217.427597465,11.276391148576453,7.285236165645001,0.7243082729792522,-0.7583993529436865
"Sims, Lucas",R,21.7172,14.1347,10.042699999999996,306.96610683999995,12.955949597868154,25.911899195736307,1.4312598216061299,1.7211613873737084
"Fuentes, Didier",R,17.6124,16.7376,12.53,294.78930624000003,12.148496692183771,24.296993384367543,1.406638358302774,1.267584996693368
"Waddell, Brandon",L,30.839,12.0867,12.176999999999992,198.73922836000003,11.801422678502403,9.027643727876333,0.687660832184613,-0.27441080564750314
"Kikuchi, Yusei",L,20.5177,21.2172,14.908200000000008,150.83902562999998,10.917509307178266,10.044230250052143,0.6760181987943271,-0.6669727738383151
"Sasaki, Roki",R,21.9915,18.4517,14.65679999999999,132.44089094999998,11.778241170252956,15.89514450364086,0.878563561705776,0.30089170062925147
"Nance, Tommy",R,27.7517,23.3519,9.530100000000004,74.31493387999998,13.03720223640588,18.49317668684056,0.8706258173244233,0.7684708904659296
"Reynolds, Sean",R,27.1772,16.8666,13.166600000000004,104.99381984500002,12.633455413255705,15.294573517297422,0.8602025655873617,0.45551574746342677
"Cortes, Nestor",L,25.9821,16.490199999999998,12.043000000000006,184.29327487,10.842958635424075,12.872263986909704,0.6451067578228341,-0.015711135941462978
"Quantrill, Cal",R,18.7125,23.7647,13.622,207.6405007,10.71224030275336,7.124580345657823,0.6435901292332175,-1.2262752956448337
"Milner, Hoby",L,33.2272,10.7151,9.742899999999992,177.73783016,12.73986235242247,11.770474605906724,0.6386620944610991,0.3240760294579208
"Garcia, Rico",R,15.3725,29.5729,10.2513,170.075556225,12.689647574996446,9.759608612944833,0.6359773547987201,-0.8847518508988156
"Kochanowicz, Jack",R,27.4103,17.3402,13.168999999999995,174.46057323000002,10.804121104412582,8.499903696308504,0.6323460094492791,-0.6442396832333938
"Whitlock, Garrett",R,20.3821,21.0306,11.517899999999996,164.65136469,12.187991341273245,17.41610361793613,0.8407192220960564,0.45464421842721275
"Ellard, Fraser",L,18.0565,16.7441,9.928200000000004,302.33984165,12.3126162640196,24.6252325280392,1.2248244412112141,1.407751571218097
"Herget, Jimmy",R,30.9609,9.7455,15.195700000000002,152.12282849000002,10.934889978914452,9.021033612005118,0.6119253803261464,-0.23832122121786292
"Cruz, Fernando",R,22.4388,17.4558,13.384,186.14211198,10.940266745740898,10.931523994267463,0.6104874299143465,-0.36855909667320186
"Legumina, Casey",R,27.5258,12.6175,13.25160000000001,174.601408435,11.101603533505392,11.337277761174878,0.596419912370145,-0.04098327708022192
"Topa, Justin",R,31.241,11.7567,11.302800000000005,162.70533145000002,12.032980148659824,11.312776910316751,0.5925293778815037,0.1442668880919139
"Webb, Logan",R,30.3107,16.2797,8.133799999999994,250.5516934,11.00610582151292,10.484184986520072,0.5915994899395483,-0.2595487012286859
"Kerkering, Orion",R,30.592,14.2377,10.738100000000005,107.99745339999998,13.805880984515852,14.796530849103902,0.7840014876917434,0.6693373898695176
"Gomber, Austin",L,15.889399999999998,26.751,13.415599999999998,136.464577745,11.48506047378451,9.975850794271116,0.5855763765302803,-0.8404882581129567
"Peterson, David",L,21.0559,21.683100000000003,13.569500000000003,176.57661251500002,10.975796047810425,7.207172377127771,0.5680865821941451,-1.0418947371969678
"Walker, Ryan",R,32.0864,0.9977,11.994799999999998,32.01260128,16.050953789806385,32.10190757961277,1.1238486232152574,3.71889175274151
"Woodford, Jake",R,29.4636,13.7583,12.15809999999999,201.76221078,10.121211552336485,10.541560017509976,0.5609528197786118,-0.24494450332903614
"Herrin, Tim",L,26.7449,15.5728,13.3771,147.22667847000002,10.597303675737532,11.764475458595314,0.5566905235994438,-0.11048138817457924
"Suarez, José",L,21.8446,17.802300000000002,11.111500000000008,170.82669999,11.862300742893964,18.1387497205819,0.7323606733259843,0.696660077707469
"Thompson, Mason",R,20.3935,13.583,10.075400000000002,277.0049105,12.25145635475636,24.50291270951272,1.0934859818369749,1.5854426449896726
"Matthews, Zebby",R,15.9025,24.2089,13.408,203.33902892500004,10.176419723657606,9.70808767236242,0.5456920285537198,-0.9292120431354255
"Horn, Bailey",L,17.3261,16.168799999999997,10.8493,280.14224568,11.849302032714837,23.698604065429677,1.081278028877924,1.297584137439939
"Kolek, Stephen",R,30.108,13.4231,11.491600000000004,215.32817673,10.737609856238969,8.206825229630946,0.5374285799141386,-0.49617530563541373
"McFarland, T.J.",L,34.0325,0.1845999999999998,9.8489,6.282399499999996,17.01650032622748,34.03300065245496,1.0614768899517137,4.183767537149561
"Stanek, Ryne",R,20.9472,18.0265,14.107200000000006,161.54097483000004,10.92387754346121,10.121689682713596,0.5174873381750613,-0.4880475228856583
"Matsui, Yuki",L,22.1562,21.0402,10.682900000000004,189.715383275,10.334054450267764,13.240837789286044,0.5142180547207513,-0.17377885504251525
"Scott, Tayler",R,26.8823,14.7692,9.250600000000006,164.47514037999997,12.670770661946875,17.679789872388582,0.6854580866152612,0.9148274261542559
"Springs, Jeffrey",L,27.4663,16.294,14.476299999999997,131.36115218999998,10.279290755405976,8.944827437454807,0.5124965705037794,-0.5358224746946363
"Allen, Logan",L,27.8513,15.5752,13.147199999999998,160.64460724,10.661734784236412,8.644371909817249,0.5080594136983957,-0.5203688155451677
"Sproat, Brandon",R,30.4972,2.2828,11.212100000000008,69.61900815999999,15.291258807567152,30.582517615134304,1.012873621462689,3.3893633676210184
"Imanaga, Shota",L,24.936,16.1807,10.458299999999994,144.39134225,12.860341213408674,16.08306188688319,0.6691350975141764,0.6350721033287844
"Nicolas, Kyle",R,14.9294,29.4679,13.8176,45.08520285000002,11.976285500852793,15.671923149181032,0.6647419625498439,-0.0758347593715252
"Borucki, Ryan",L,32.1036,9.4343,12.8052,109.297426255,12.148615837289457,11.283295217988204,0.49423651997687107,0.29484215432934435
"Waldrep, Hurston",R,19.7536,23.8831,13.260199999999998,160.54380842499998,9.742300025274885,10.356233458663812,0.4925206658542123,-0.7628249135226369
"Manaea, Sean",L,27.8667,8.3051,14.034199999999998,115.22142788499995,12.88283228992161,14.858607770110837,0.6546886006168338,0.7756298674082641
"Megill, Trevor",R,6.976100000000001,25.213,11.562399999999997,175.88840930000003,13.080150421631243,26.160300843262487,0.9797909891065576,1.3711722182103443
"Cease, Dylan",R,6.735200000000001,34.0337,14.851199999999992,33.10603057,12.108660350911618,16.96288031056341,0.6468356284726647,-0.15802698275165572
"Weathers, Ryan",L,22.2815,14.6852,13.114500000000008,149.47372251999997,11.625786818003968,16.493584460909222,0.6389545777273636,0.5854263655040447
"Silseth, Chase",R,17.6669,15.5578,10.1164,274.85809682,11.77034936238088,23.54069872476176,0.9583375078298944,1.3425615828823727
"Bachar, Lake",R,24.6242,18.2891,10.797600000000005,165.07346956,11.662074110278748,10.590796241203352,0.4767541653707241,-0.27620359617315005
"Strider, Spencer",R,18.8929,23.1453,17.0783,30.771589835,11.092991313977937,13.571636414015623,0.6335099177129918,-0.17661048599773427
"Seymour, Ian",L,26.4615,20.791,10.5912,174.37041458499996,10.705150268296622,8.599195148749391,0.4727191872530393,-0.702250364883337
"King, Bryan",L,28.7961,11.4186,11.94720000000001,126.95953538,12.439781688774374,15.36501018073072,0.6273602780261086,0.7325662186213565
"Pomeranz, Drew",L,5.3194,28.1199,8.931300000000007,149.58099606,14.309304598494643,28.61860919698929,0.931149449120669,1.7499555371785374
"Helsley, Ryan",R,5.9882,29.968400000000003,18.570300000000003,43.68707420000001,11.08005961628668,14.526859347615256,0.6206555151719991,-0.4873364436958653
"Backhus, Kyle",L,31.399700000000003,0.0665999999999997,12.580799999999996,2.091220019999993,15.699885315265842,31.399770630531684,0.9275119962130774,3.6870321240339794
"Varland, Louis",R,18.4908,21.9811,10.137199999999993,241.11010987000003,10.866924176070604,9.779569733364209,0.45862667881079255,-0.7132300540486993
"Stewart, Brock",R,30.0058,12.1383,11.502499999999998,191.34377469,11.307994285203652,8.115058124533192,0.4573349025853692,-0.3774448051508611
"Gibson, Kyle",R,26.971,5.9937,9.700199999999995,161.65608269999998,13.81447864280444,27.62895728560888,0.9032196452158252,2.655193510097686
